id,name,bg1_enable,bg1_coef,bg1_flip_disable,bg2_enable,bg2_coef,bg2_flip_disable,bg3_enable,bg3_coef,bg3_flip_disable,bg4_enable,bg4_coef,bg4_flip_disable,created_at,updated_at
1,セルゲーム会場,1,50,1,1,10,1,1,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
2,聖地カリン,1,0,1,1,10,1,1,50,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
3,界王神星,1,50,1,1,15,1,1,10,1,1,5,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
4,ナメック星,1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
5,西の都,1,35,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
6,サタンシティ,1,35,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
7,パパイヤ島,1,50,1,1,0,1,1,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
8,悟空・フリーザの到着地点,1,35,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
9,カメハウス上空,1,50,1,1,0,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
10,神様の神殿,1,50,1,1,0,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
11,界王星,1,0,1,1,0,1,1,50,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
12,占いババの宮殿,1,50,1,1,0,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
13,精神と時の部屋,1,50,1,1,0,1,0,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
14,19号と20号が現れた島,1,50,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
15,バビディの宇宙船隠し場所,1,50,1,1,1,1,0,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
16,悟空vs魔人ベジータの決闘地点,1,50,1,1,10,1,1,1,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
17,ユンザビット高地,1,50,1,1,10,1,1,0,1,1,5,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
18,ブウの家付近,1,50,1,1,0,1,1,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
19,ラディッツ着地場所,1,50,1,1,10,1,1,0,1,1,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
20,ジンジャータウン,1,50,1,1,25,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
21,中の都,1,50,1,1,0,1,1,5,1,1,10,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
22,パセリシティ,1,50,1,1,25,1,1,15,1,1,10,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
23,ドクターゲロの研究所付近,1,50,1,1,10,1,1,3,1,1,5,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
24,17号18号との戦闘地,1,50,1,1,10,1,1,5,1,1,3,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
25,セルが完全体になった島,1,35,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
26,悟空vsベジータの決闘地点,1,50,1,1,25,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
27,あの世,1,50,1,1,0,1,1,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
28,ピラフの城,1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
29,RR軍本部,1,20,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
30,ジングル村,1,50,1,1,0,1,1,25,1,1,70,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
31,ブウのおなかの中,1,50,1,1,25,1,1,15,1,1,30,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
32,荒野（夜）,1,50,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
33,荒野（昼）,1,50,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
34,カリン塔,1,50,1,1,0,1,1,40,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
35,蛇の道,1,50,1,1,5,1,1,5,1,1,5,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
36,重力室(50倍重力)(宇宙船),1,0,1,1,0,1,0,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
37,重力室(150倍重力)(カプセルCorp),1,0,1,0,0,1,0,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
38,精神と時の部屋,1,0,1,1,0,1,0,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
39,宇宙空間,1,50,1,1,5,1,1,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
40,惑星ミート,1,50,1,1,10,1,0,0,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
41,惑星ベジータ,1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
42,崩壊したナメック星,1,50,1,1,25,1,1,10,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
43,ビルスの星,1,50,1,1,25,1,1,10,1,1,5,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
44,天下一武道会会場,1,20,1,1,10,1,1,0,1,1,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
45,天下一武道会会場（夕）,1,20,1,1,10,1,1,0,1,1,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
46,武道会場(土)(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
47,マグマ(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
48,西洋の街(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
49,武道会場(タイル)(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
50,とびっきりの最強対最強(夕方),1,50,1,1,25,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
51,神精樹の木付近荒野,1,35,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
52,0,1,35,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
53,悟空・フリーザの到着地点(暗転),1,50,1,1,10,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
54,セルが完全対になった島(暗転),1,50,1,1,25,1,1,5,1,0,0,1,2024-07-16 08:42:51.685304,2024-07-16 08:42:51.685304
