id,name,description,support_memory_id,rarity,created_at,updated_at
100011,Oolong's Wish [Bronze],A medal required to boost a certain Support Memory.,10001,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
100012,Oolong's Wish [Silver],A medal required to boost a certain Support Memory.,10001,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
100013,Oolong's Wish [Gold],A medal required to boost a certain Support Memory.,10001,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
100014,Oolong's Wish [Rainbow],A medal required to boost a certain Support Memory.,10001,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
100024,Goku Gets Married! [Rainbow],A medal required to boost a certain Support Memory.,10002,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200011,Frieza's Fury [Bronze],A medal required to boost a certain Support Memory.,20001,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200012,Frieza's Fury [Silver],A medal required to boost a certain Support Memory.,20001,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200013,Frieza's Fury [Gold],A medal required to boost a certain Support Memory.,20001,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200014,Frieza's Fury [Rainbow],A medal required to boost a certain Support Memory.,20001,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200041,Transcend the Super Saiyan! [Bronze],A medal required to boost a certain Support Memory.,20004,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200042,Transcend the Super Saiyan! [Silver],A medal required to boost a certain Support Memory.,20004,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200043,Transcend the Super Saiyan! [Gold],A medal required to boost a certain Support Memory.,20004,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200044,Transcend the Super Saiyan! [Rainbow],A medal required to boost a certain Support Memory.,20004,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200081,Curious Destiny [Bronze],A medal required to boost a certain Support Memory.,20008,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200082,Curious Destiny [Silver],A medal required to boost a certain Support Memory.,20008,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200083,Curious Destiny [Gold],A medal required to boost a certain Support Memory.,20008,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200084,Curious Destiny [Rainbow],A medal required to boost a certain Support Memory.,20008,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200111,Bonds Forged in the Past [Bronze],A medal required to boost a certain Support Memory.,20011,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200112,Bonds Forged in the Past [Silver],A medal required to boost a certain Support Memory.,20011,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200113,Bonds Forged in the Past [Gold],A medal required to boost a certain Support Memory.,20011,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
200114,Bonds Forged in the Past [Rainbow],A medal required to boost a certain Support Memory.,20011,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300011,Pull Out the Tail! [Bronze],A medal required to boost a certain Support Memory.,30001,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300012,Pull Out the Tail! [Silver],A medal required to boost a certain Support Memory.,30001,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300013,Pull Out the Tail! [Gold],A medal required to boost a certain Support Memory.,30001,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300014,Pull Out the Tail! [Rainbow],A medal required to boost a certain Support Memory.,30001,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300051,Goku Becomes a Kid?! [Bronze],A medal required to boost a certain Support Memory.,30005,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300052,Goku Becomes a Kid?! [Silver],A medal required to boost a certain Support Memory.,30005,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300053,Goku Becomes a Kid?! [Gold],A medal required to boost a certain Support Memory.,30005,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
300054,Goku Becomes a Kid?! [Rainbow],A medal required to boost a certain Support Memory.,30005,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400011,First Taste of Tempura [Bronze],A medal required to boost a certain Support Memory.,40001,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400012,First Taste of Tempura [Silver],A medal required to boost a certain Support Memory.,40001,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400013,First Taste of Tempura [Gold],A medal required to boost a certain Support Memory.,40001,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400014,First Taste of Tempura [Rainbow],A medal required to boost a certain Support Memory.,40001,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400041,Bond of Sister and Brother [Bronze],A medal required to boost a certain Support Memory.,40004,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400042,Bond of Sister and Brother [Silver],A medal required to boost a certain Support Memory.,40004,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400043,Bond of Sister and Brother [Gold],A medal required to boost a certain Support Memory.,40004,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400044,Bond of Sister and Brother [Rainbow],A medal required to boost a certain Support Memory.,40004,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400051,Trunks and Mai's Reunion [Bronze],A medal required to boost a certain Support Memory.,40005,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400052,Trunks and Mai's Reunion [Silver],A medal required to boost a certain Support Memory.,40005,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400053,Trunks and Mai's Reunion [Gold],A medal required to boost a certain Support Memory.,40005,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400054,Trunks and Mai's Reunion [Rainbow],A medal required to boost a certain Support Memory.,40005,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400081,Lamentation of the Absolute God [Bronze],A medal required to boost a certain Support Memory.,40008,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400082,Lamentation of the Absolute God [Silver],A medal required to boost a certain Support Memory.,40008,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400083,Lamentation of the Absolute God [Gold],A medal required to boost a certain Support Memory.,40008,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
400084,Lamentation of the Absolute God [Rainbow],A medal required to boost a certain Support Memory.,40008,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500011,"Fly, Icarus! [Bronze]",A medal required to boost a certain Support Memory.,50001,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500012,"Fly, Icarus! [Silver]",A medal required to boost a certain Support Memory.,50001,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500013,"Fly, Icarus! [Gold]",A medal required to boost a certain Support Memory.,50001,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500014,"Fly, Icarus! [Rainbow]",A medal required to boost a certain Support Memory.,50001,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500041,Curiosity About the Realm of Gods [Bronze],A medal required to boost a certain Support Memory.,50004,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500042,Curiosity About the Realm of Gods [Silver],A medal required to boost a certain Support Memory.,50004,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500043,Curiosity About the Realm of Gods [Gold],A medal required to boost a certain Support Memory.,50004,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500044,Curiosity About the Realm of Gods [Rainbow],A medal required to boost a certain Support Memory.,50004,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500051,Strike from the Otherworld [Bronze],A medal required to boost a certain Support Memory.,50005,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500052,Strike from the Otherworld [Silver],A medal required to boost a certain Support Memory.,50005,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500053,Strike from the Otherworld [Gold],A medal required to boost a certain Support Memory.,50005,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500054,Strike from the Otherworld [Rainbow],A medal required to boost a certain Support Memory.,50005,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500071,Cruel Provocation [Bronze],A medal required to boost a certain Support Memory.,50007,0,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500072,Cruel Provocation [Silver],A medal required to boost a certain Support Memory.,50007,1,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500073,Cruel Provocation [Gold],A medal required to boost a certain Support Memory.,50007,2,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
500074,Cruel Provocation [Rainbow],A medal required to boost a certain Support Memory.,50007,3,2024-07-24 07:39:21.311317,2024-07-24 07:39:21.311317
