id,card_id,standby_skill_set_id,created_at,updated_at
1,1026390,1,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
2,1026391,2,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
3,1025730,3,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
4,1025731,4,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
5,1025770,5,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
6,1025771,6,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
7,1026530,7,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
8,1026531,8,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
9,1026900,9,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
10,1026901,10,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
11,1027290,11,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
12,1027291,12,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
13,9526390,13,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
14,9526391,14,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
15,1027620,15,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
16,1027621,16,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
17,1028370,17,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
18,1028371,18,2024-07-24 07:39:35.510619,2024-07-24 07:39:35.510619
