id,card_id,standby_skill_set_id,created_at,updated_at
1,1026390,1,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
2,1026391,2,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
3,1025730,3,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
4,1025731,4,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
5,1025770,5,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
6,1025771,6,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
7,1026530,7,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
8,1026531,8,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
9,1026900,9,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
10,1026901,10,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
11,1027290,11,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
12,1027291,12,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
13,9526390,13,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
14,9526391,14,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
15,1027620,15,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
16,1027621,16,2024-06-05 09:25:36.724858,2024-06-05 09:25:36.724858
