id,comment,required_stone_for_unrelease,created_at,updated_at
1,"Selectable skills: Combo +3, Critical +3",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
2,"Selectable skills: Critical +3, Evasion +3",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
3,"Selectable skills: Combo +3, Evasion +3",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
4,"Selectable skills: Type ATK Boost +5, Super Attack Boost +5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
5,"Selectable skills: Type DEF Boost +5, Recovery +5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
6,"Selectable skills: Combo +3, Critical +3, Evasion +3",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
7,"選択可能スキル: 連続攻撃+5, 会心+5, 回避+5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
8,"選択可能スキル: 連続攻撃+2, 会心+2",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
9,"選択可能スキル: 連続攻撃+4, 会心+4, 回避+4",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
10,"選択可能スキル: 会心+2, 回避+2",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
11,"選択可能スキル: 連続攻撃+1, 回避+1",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
12,"選択可能スキル: 会心+1, 回避+1",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
13,"選択可能スキル: 属性攻撃UP+5, 属性防御UP+5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
14,"選択可能スキル: 連続攻撃+2, 回避+2",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
15,"選択可能スキル: 連続攻撃+4, 回避+4",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
16,"選択可能スキル: 連続攻撃+4, 会心+4",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
17,"選択可能スキル: 属性攻撃UP+5, 治癒+5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
18,"選択可能スキル: 連続攻撃+2, 会心+2, 回避+2",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
19,"選択可能スキル: 連続攻撃+1, 会心+1",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
20,"選択可能スキル: 属性攻撃UP+3, 属性防御UP+3",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
21,"選択可能スキル: 必殺威力UP+3, 治癒+3",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
22,"選択可能スキル: 必殺威力UP+5, 治癒+5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
23,"選択可能スキル: 連続攻撃+5, 会心+5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
24,"選択可能スキル: 連続攻撃+5, 回避+5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
25,"選択可能スキル: 属性防御UP+5, 必殺威力UP+5",5,2024-07-30 10:29:38.124509,2024-07-30 10:29:38.124509
