id,potential_square_id,prev_potential_square_id,created_at,updated_at
1,1000005,,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
2,1000181,,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
3,1000242,,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
4,1000085,,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
5,1000002,1000056.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
6,1000056,1000002.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
7,1000002,1000067.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
8,1000067,1000002.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
9,1000002,1000018.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
10,1000018,1000002.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
11,1000004,1000227.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
12,1000227,1000004.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
13,1000004,1000212.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
14,1000212,1000004.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
15,1000005,1000011.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
16,1000011,1000005.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
17,1000006,1000010.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
18,1000010,1000006.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
19,1000007,1000010.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
20,1000010,1000007.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
21,1000009,1000008.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
22,1000008,1000009.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
23,1000009,1000012.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
24,1000012,1000009.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
25,1000011,1000014.0,2024-06-26 10:51:05.587034,2024-06-26 10:51:05.587034
