id,type,conditions,comment,created_at,updated_at
1,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":20}",素材ID=3:20個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
2,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":10}",素材ID=8:10個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
3,PotentialSquareCondition::PotentialItem,"{""item_id"":13,""quantity"":1}",素材ID=13:1個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
4,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":5}",素材ID=3:5個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
5,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":10}",素材ID=3:10個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
6,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":5}",素材ID=8:5個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
7,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":50}",素材ID=3:50個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
8,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":25}",素材ID=8:25個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
9,PotentialSquareCondition::PotentialItem,"{""item_id"":13,""quantity"":3}",素材ID=13:3個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
10,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":15}",素材ID=8:15個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
11,PotentialSquareCondition::PotentialItem,"{""item_id"":13,""quantity"":2}",素材ID=13:2個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
12,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":30}",素材ID=3:30個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
13,PotentialSquareCondition::SkillLv,"{""skill_lv"":2}",必殺技Lv2以上,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
14,PotentialSquareCondition::SkillLv,"{""skill_lv"":6}",必殺技Lv6以上,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
15,PotentialSquareCondition::SkillLv,"{""skill_lv"":4}",必殺技Lv4以上,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
16,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":15}",素材ID=3:15個,2024-07-30 10:29:38.601074,2024-07-30 10:29:38.601074
