id,script_name,lite_flicker_rate,bgm_id,created_at,updated_at
1,pse0001,70,172.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
2,pse0002,70,175.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
3,pse0005,70,171.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
4,pse0003,70,181.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
5,pse0004,70,183.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
6,pse0006,70,186.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
7,pse0007,50,193.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
8,pse0008,50,195.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
9,pse0009,50,200.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
10,pse0010,30,197.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
11,pse0011,30,203.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
12,pse0015,30,215.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
13,pse0014,30,216.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
14,pse0013,30,217.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
15,pse0017,30,221.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
16,pse0016,50,226.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
17,pse0018,50,228.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
18,pse0019,30,239.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
19,pse0020,30,237.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
20,pse0022,50,258.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
21,pse0021,30,,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
22,pse0023,30,263.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
23,pse0024,30,268.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
24,pse0027,30,265.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
25,pse0025,70,270.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
26,pse0028,30,274.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
27,pse0026,30,272.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
28,pse0029,50,280.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
29,pse0031,30,285.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
30,pse0030,30,288.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
31,pse0032,30,290.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
32,pse0033,50,292.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
33,pse0034,50,295.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
34,pse0035,30,307.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
35,pse0037,50,314.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
36,pse0036,50,312.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
37,pse0038,50,316.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
38,pse0040,30,320.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
39,pse0039,50,329.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
40,pse0041,70,322.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
41,pse0042,70,327.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
42,pse0043,50,333.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
43,pse0048,30,,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
45,pse0045,30,342.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
47,pse0047,30,349.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
48,pse0055,30,361.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
49,pse0050,70,354.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
50,pse0049,50,356.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
51,pse0051,30,359.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
52,pse0054,30,,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
53,pse0052,30,363.0,2024-07-08 11:00:20.626022,2024-07-08 11:00:20.626022
