id,mission_category_id,item1_id,item1_type,item2_id,item2_type,item3_id,item3_type,item4_id,item4_type,created_at,updated_at
1,111,14,AwakeningItem,16.0,AwakeningItem,17.0,AwakeningItem,15.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
2,112,1013101,Card,155001.0,AwakeningItem,1012230.0,Card,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
3,113,1019101,Card,19601.0,AwakeningItem,1012230.0,Card,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
4,120,11,Point::Stone,,,,,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
5,135,1007360,Card,13501.0,AwakeningItem,13502.0,AwakeningItem,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
6,139,1009810,Card,,,,,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
7,150,1011420,Card,15001.0,AwakeningItem,1003970.0,Card,900000.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
8,152,11,Point::Stone,1003970.0,Card,15201.0,SupportItem,1005480.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
9,160,11,Point::Stone,1013470.0,Card,9.0,AwakeningItem,1000.0,TrainingItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
10,161,11,Point::Stone,1014100.0,Card,,,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
11,162,11,Point::Stone,201414.0,AwakeningItem,1014630.0,Card,1003970.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
12,171,11,Point::Stone,1015270.0,Card,1013400.0,Card,14.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
13,179,11,Point::Stone,1016710.0,Card,1016720.0,Card,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
14,181,11,Point::Stone,1017250.0,Card,1017360.0,Card,1002630.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
15,188,11,Point::Stone,1003970.0,Card,900000.0,AwakeningItem,19.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
16,189,11,Point::Stone,1018390.0,Card,1002630.0,Card,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
17,201,11,Point::Stone,1019960.0,Card,20101.0,AwakeningItem,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
18,202,1019101,Card,1012230.0,Card,,,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
19,211,11,Point::Stone,1003970.0,Card,900000.0,AwakeningItem,19.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
20,212,11,Point::Stone,1023320.0,Card,1020880.0,Card,1002630.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
21,215,11,Point::Stone,1021840.0,Card,19.0,AwakeningItem,20.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
22,315,1003930,Card,3151.0,AwakeningItem,31502.0,SupportItem,31501.0,SupportItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
23,322,11,Point::Stone,3.0,SupportFilm,,,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
24,323,11,Point::Stone,19.0,AwakeningItem,20.0,AwakeningItem,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
25,324,11,Point::Stone,3.0,SupportFilm,,,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
26,325,11,Point::Stone,1002630.0,Card,4.0,AwakeningItem,801.0,TrainingItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
27,327,11,Point::Stone,,,,,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
28,328,11,Point::Stone,1009560.0,Card,1002630.0,Card,1002650.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
29,329,11,Point::Stone,1009800.0,Card,1001.0,AwakeningItem,1002.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
30,332,1010350,Card,1003970.0,Card,900000.0,AwakeningItem,20.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
31,333,11,Point::Stone,33302.0,AwakeningItem,33303.0,AwakeningItem,33304.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
32,334,11,Point::Stone,1011910.0,Card,33401.0,SupportItem,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
33,335,11,Point::Stone,1012170.0,Card,1011920.0,Card,1011970.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
34,336,11,Point::Stone,1009140.0,Card,1003970.0,Card,1012250.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
35,338,1012500,Card,33801.0,SupportItem,1002630.0,Card,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
36,339,11,Point::Stone,1005480.0,Card,20.0,AwakeningItem,,,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
37,340,11,Point::Stone,1003970.0,Card,1100.0,TrainingItem,20.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
38,341,11,Point::Stone,1013631.0,Card,1013650.0,Card,34102.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
39,343,11,Point::Stone,1005110.0,Card,1013720.0,Card,1003970.0,Card,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
40,344,11,Point::Stone,1013900.0,Card,1013890.0,Card,34402.0,AwakeningItem,2024-06-05 09:22:50.578161,2024-06-05 09:22:50.578161
