id,mission_category_id,item1_id,item1_type,item2_id,item2_type,item3_id,item3_type,item4_id,item4_type,created_at,updated_at
1,111,14,AwakeningItem,16.0,AwakeningItem,17.0,AwakeningItem,15.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
2,112,1013101,Card,155001.0,AwakeningItem,1012230.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
3,113,1019101,Card,19601.0,AwakeningItem,1012230.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
4,120,11,Point::Stone,,,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
5,135,1007360,Card,13501.0,AwakeningItem,13502.0,AwakeningItem,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
6,139,1009810,Card,,,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
7,150,1011420,Card,15001.0,AwakeningItem,1003970.0,Card,900000.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
8,152,11,Point::Stone,1003970.0,Card,15201.0,SupportItem,1005480.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
9,160,11,Point::Stone,1013470.0,Card,9.0,AwakeningItem,1000.0,TrainingItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
10,161,11,Point::Stone,1014100.0,Card,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
11,162,11,Point::Stone,201414.0,AwakeningItem,1014630.0,Card,1003970.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
12,171,11,Point::Stone,1015270.0,Card,1013400.0,Card,14.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
13,179,11,Point::Stone,1016710.0,Card,1016720.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
14,181,11,Point::Stone,1017250.0,Card,1017360.0,Card,1002630.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
15,188,11,Point::Stone,1003970.0,Card,900000.0,AwakeningItem,19.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
16,189,11,Point::Stone,1018390.0,Card,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
17,201,11,Point::Stone,1019960.0,Card,20101.0,AwakeningItem,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
18,202,1019101,Card,1012230.0,Card,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
19,211,11,Point::Stone,1003970.0,Card,900000.0,AwakeningItem,19.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
20,212,11,Point::Stone,1023320.0,Card,1020880.0,Card,1002630.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
21,215,11,Point::Stone,1021840.0,Card,19.0,AwakeningItem,20.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
22,315,1003930,Card,3151.0,AwakeningItem,31502.0,SupportItem,31501.0,SupportItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
23,322,11,Point::Stone,3.0,SupportFilm,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
24,323,11,Point::Stone,19.0,AwakeningItem,20.0,AwakeningItem,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
25,324,11,Point::Stone,3.0,SupportFilm,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
26,325,11,Point::Stone,1002630.0,Card,4.0,AwakeningItem,801.0,TrainingItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
27,327,11,Point::Stone,,,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
28,328,11,Point::Stone,1009560.0,Card,1002630.0,Card,1002650.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
29,329,11,Point::Stone,1009800.0,Card,1001.0,AwakeningItem,1002.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
30,332,1010350,Card,1003970.0,Card,900000.0,AwakeningItem,20.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
31,333,11,Point::Stone,33302.0,AwakeningItem,33303.0,AwakeningItem,33304.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
32,334,11,Point::Stone,1011910.0,Card,33401.0,SupportItem,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
33,335,11,Point::Stone,1012170.0,Card,1011920.0,Card,1011970.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
34,336,11,Point::Stone,1009140.0,Card,1003970.0,Card,1012250.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
35,338,1012500,Card,33801.0,SupportItem,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
36,339,11,Point::Stone,1005480.0,Card,20.0,AwakeningItem,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
37,340,11,Point::Stone,1003970.0,Card,1100.0,TrainingItem,20.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
38,341,11,Point::Stone,1013631.0,Card,1013650.0,Card,34102.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
39,343,11,Point::Stone,1005110.0,Card,1013720.0,Card,1003970.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
40,344,11,Point::Stone,1013900.0,Card,1013890.0,Card,34402.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
41,345,11,Point::Stone,1005810.0,Card,1014290.0,Card,3.0,SupportFilm,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
42,346,11,Point::Stone,1014670.0,Card,1003970.0,Card,1012230.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
43,347,11,Point::Stone,1013220.0,Card,3030.0,AwakeningItem,1003970.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
44,348,11,Point::Stone,1008150.0,Card,1012050.0,Card,19.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
45,349,11,Point::Stone,1015450.0,Card,1015680.0,Card,1015320.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
46,351,11,Point::Stone,1015580.0,Card,1013400.0,Card,2.0,SupportFilm,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
47,352,11,Point::Stone,1015350.0,Card,1013400.0,Card,11.0,PotentialItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
48,353,11,Point::Stone,11.0,PotentialItem,6.0,PotentialItem,1.0,PotentialItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
49,354,11,Point::Stone,11.0,PotentialItem,6.0,PotentialItem,1.0,PotentialItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
50,355,11,Point::Stone,1016090.0,Card,1016110.0,Card,1014530.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
51,356,11,Point::Stone,1016290.0,Card,35601.0,AwakeningItem,1003970.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
52,357,11,Point::Stone,1011330.0,Card,35701.0,AwakeningItem,1112.0,EquipmentSkillItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
53,361,11,Point::Stone,1016210.0,Card,1016190.0,Card,1003970.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
54,362,11,Point::Stone,1017150.0,Card,1003970.0,Card,900000.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
55,363,11,Point::Stone,1016910.0,Card,1017030.0,Card,904.0,EquipmentSkillItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
56,364,11,Point::Stone,1002690.0,Card,1000.0,TrainingItem,900.0,TrainingItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
57,365,11,Point::Stone,1004520.0,Card,1008270.0,Card,1017520.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
58,366,11,Point::Stone,1017710.0,Card,12.0,TrainingField,1002630.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
59,368,11,Point::Stone,1017650.0,Card,1003970.0,Card,2.0,SupportFilm,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
60,369,11,Point::Stone,1017730.0,Card,1003970.0,Card,900000.0,AwakeningItem,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
61,371,11,Point::Stone,1017920.0,Card,1017940.0,Card,1005610.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
62,372,11,Point::Stone,1018510.0,Card,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
63,373,11,Point::Stone,1018070.0,Card,,,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
64,374,11,Point::Stone,1018710.0,Card,1018690.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
65,375,11,Point::Stone,1018920.0,Card,1018940.0,Card,1003970.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
66,376,11,Point::Stone,1019050.0,Card,1013400.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
67,377,11,Point::Stone,1003890.0,Card,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
68,378,11,Point::Stone,5002.0,TreasureItem,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
69,379,11,Point::Stone,1020160.0,Card,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
70,381,11,Point::Stone,1002940.0,Card,1019480.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
71,382,11,Point::Stone,1020610.0,Card,1020760.0,Card,1020800.0,Card,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
72,383,11,Point::Stone,1021380.0,Card,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
73,384,11,Point::Stone,1021070.0,Card,1002630.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
74,385,11,Point::Stone,1021600.0,Card,1013400.0,Card,,,2024-06-18 10:26:18.457884,2024-06-18 10:26:18.457884
