id,standby_skill_set_id,finish_skill_set_id,created_at,updated_at
1,1,1,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
2,1,2,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
3,2,1,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
4,2,2,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
5,3,3,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
6,3,4,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
7,4,3,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
8,4,4,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
9,5,5,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
10,6,5,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
11,7,6,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
12,8,6,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
13,9,7,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
14,9,8,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
15,10,7,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
16,10,9,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
17,11,10,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
18,12,10,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
19,13,1,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
20,13,2,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
21,14,1,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
22,14,2,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
23,15,11,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
24,15,12,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
25,16,11,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
26,16,12,2024-06-05 09:25:21.761379,2024-06-05 09:25:21.761379
