id,skill_type,skill_id,description,created_at,updated_at
8,PassiveSkill,2001090,"Performs Potara Fusion 
when HP is 50% or less starting from 
the 6th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
9,PassiveSkill,2001091,"Performs Potara Fusion 
when HP is 50% or less starting from 
the 6th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
10,PassiveSkill,2001095,"Fuses when HP is 50% or less 
starting from the 6th turn 
from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
11,PassiveSkill,2001096,"Fuses when HP is 50% or less 
starting from the 6th turn 
from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
16,PassiveSkill,1001126,Awakens when HP is 50% or less,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
17,PassiveSkill,1001127,Awakens when HP is 50% or less,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
18,PassiveSkill,3001133,"25% chance of activating 
""Fruit of the Tree of Might Boost"" 
for 3 turns when HP is 80% or less",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
19,PassiveSkill,3001134,"25% chance of activating 
""Fruit of the Tree of Might Boost"" 
for 3 turns when HP is 80% or less",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
20,PassiveSkill,3001154,"30% chance of evolving starting from 
the 4th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
21,PassiveSkill,3001155,"30% chance of evolving starting from 
the 4th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
22,PassiveSkill,3001226,"30% chance of consuming Cell and transforming 
when HP is 50% or more starting from 
the 4th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
23,PassiveSkill,3001227,"30% chance of consuming Cell and transforming 
when HP is 50% or more starting from 
the 4th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
24,PassiveSkill,3001254,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
25,PassiveSkill,3001255,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
26,PassiveSkill,3001256,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
27,PassiveSkill,3001257,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
28,PassiveSkill,3001258,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
29,PassiveSkill,3001259,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
30,PassiveSkill,2001264,"Transforms starting from the 3rd turn 
from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
31,PassiveSkill,2001265,"Transforms starting from the 3rd turn 
from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
32,PassiveSkill,2001266,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
33,PassiveSkill,2001267,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
34,PassiveSkill,2001268,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
35,PassiveSkill,2001269,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
36,PassiveSkill,2001270,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
37,PassiveSkill,2001271,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
38,PassiveSkill,2001274,"Transforms starting from the 3rd turn 
from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
39,PassiveSkill,2001275,"Transforms starting from the 3rd turn 
from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
40,PassiveSkill,2001276,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
41,PassiveSkill,2001277,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
42,PassiveSkill,2001278,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
43,PassiveSkill,2001279,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
44,PassiveSkill,2001280,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
45,PassiveSkill,2001281,Transforms upon entering next attacking turn,2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
46,PassiveSkill,1001296,"Absorbs Ultimate Gohan when HP is 
between 80% and 100% starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
47,PassiveSkill,2001296,"Absorbs Super Saiyan 3 Gotenks when 
HP is between 50% and 79% starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
48,PassiveSkill,3001296,"Absorbs Piccolo when HP is 49% or less 
starting from the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
49,PassiveSkill,1001297,"Absorbs Ultimate Gohan when HP is 
between 80% and 100% starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
50,PassiveSkill,2001297,"Absorbs Super Saiyan 3 Gotenks when 
HP is between 50% and 79% starting from 
the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
51,PassiveSkill,3001297,"Absorbs Piccolo when HP is 49% or less 
starting from the 5th turn from the start of battle",2024-06-05 09:24:33.417099,2024-06-05 09:24:33.417099
