id,skill_type,skill_id,description,created_at,updated_at
8,PassiveSkill,2001090,"Performs Potara Fusion 
when HP is 50% or less starting from 
the 6th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
9,PassiveSkill,2001091,"Performs Potara Fusion 
when HP is 50% or less starting from 
the 6th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
10,PassiveSkill,2001095,"Fuses when HP is 50% or less 
starting from the 6th turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
11,PassiveSkill,2001096,"Fuses when HP is 50% or less 
starting from the 6th turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
16,PassiveSkill,1001126,Awakens when HP is 50% or less,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
17,PassiveSkill,1001127,Awakens when HP is 50% or less,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
18,PassiveSkill,3001133,"25% chance of activating 
""Fruit of the Tree of Might Boost"" 
for 3 turns when HP is 80% or less",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
19,PassiveSkill,3001134,"25% chance of activating 
""Fruit of the Tree of Might Boost"" 
for 3 turns when HP is 80% or less",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
20,PassiveSkill,3001154,"30% chance of evolving starting from 
the 4th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
21,PassiveSkill,3001155,"30% chance of evolving starting from 
the 4th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
22,PassiveSkill,3001226,"30% chance of consuming Cell and transforming 
when HP is 50% or more starting from 
the 4th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
23,PassiveSkill,3001227,"30% chance of consuming Cell and transforming 
when HP is 50% or more starting from 
the 4th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
24,PassiveSkill,3001254,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
25,PassiveSkill,3001255,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
26,PassiveSkill,3001256,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
27,PassiveSkill,3001257,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
28,PassiveSkill,3001258,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
29,PassiveSkill,3001259,"Assimilate with Nail starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
30,PassiveSkill,2001264,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
31,PassiveSkill,2001265,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
32,PassiveSkill,2001266,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
33,PassiveSkill,2001267,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
34,PassiveSkill,2001268,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
35,PassiveSkill,2001269,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
36,PassiveSkill,2001270,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
37,PassiveSkill,2001271,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
38,PassiveSkill,2001274,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
39,PassiveSkill,2001275,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
40,PassiveSkill,2001276,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
41,PassiveSkill,2001277,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
42,PassiveSkill,2001278,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
43,PassiveSkill,2001279,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
44,PassiveSkill,2001280,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
45,PassiveSkill,2001281,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
46,PassiveSkill,1001296,"Absorbs Ultimate Gohan when HP is 
between 80% and 100% starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
47,PassiveSkill,2001296,"Absorbs Super Saiyan 3 Gotenks when 
HP is between 50% and 79% starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
48,PassiveSkill,3001296,"Absorbs Piccolo when HP is 49% or less 
starting from the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
49,PassiveSkill,1001297,"Absorbs Ultimate Gohan when HP is 
between 80% and 100% starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
50,PassiveSkill,2001297,"Absorbs Super Saiyan 3 Gotenks when 
HP is between 50% and 79% starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
51,PassiveSkill,3001297,"Absorbs Piccolo when HP is 49% or less 
starting from the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
52,PassiveSkill,2001354,"Transforms when HP is 80% or more starting 
from the 6th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
53,PassiveSkill,2001355,"Transforms when HP is 80% or more starting 
from the 6th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
54,PassiveSkill,3001390,"Transforms starting from the 5th turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
55,PassiveSkill,3001391,"Transforms starting from the 5th turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
56,PassiveSkill,2001398,"Transforms into Full Power state starting 
from the 4th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
57,PassiveSkill,2001399,"Transforms into Full Power state starting 
from the 4th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
58,PassiveSkill,6001434,Fuses with Mr. Buu when HP is 40% or less,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
59,PassiveSkill,6001435,Fuses with Mr. Buu when HP is 40% or less,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
60,PassiveSkill,2001453,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
61,PassiveSkill,2001454,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
62,PassiveSkill,2001455,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
63,PassiveSkill,2001456,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
64,PassiveSkill,2001457,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
65,PassiveSkill,2001458,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
66,PassiveSkill,2001459,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
67,PassiveSkill,2001460,Transforms upon entering next attacking turn,2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
68,PassiveSkill,3001496,"Transform starting from the 4th turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
69,PassiveSkill,3001497,"Transform starting from the 4th turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
70,PassiveSkill,1001506,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
71,PassiveSkill,1001507,"Transforms starting from the 3rd turn 
from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
72,PassiveSkill,3001511,"Performs Potara Fusion starting from 
the 3rd turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
73,PassiveSkill,3001512,"Performs Potara Fusion starting from 
the 3rd turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
74,ActiveSkill,15,"Can be activated upon entering 
next attacking turn (once only)",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
75,ActiveSkill,16,"Can be activated upon entering 
next attacking turn (once only)",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
76,ActiveSkill,17,"Can be activated upon entering 
next attacking turn (once only)",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
77,ActiveSkill,18,"Can be activated upon entering 
next attacking turn (once only)",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
78,PassiveSkill,3001532,"Transforms when HP is 70% or less starting 
from the 3rd turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
79,PassiveSkill,3001533,"Transforms when HP is 70% or less starting 
from the 3rd turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
80,PassiveSkill,5001547,"Fuses with Ahms (3rd Form) starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
81,PassiveSkill,5001548,"Fuses with Ahms (3rd Form) starting from 
the 5th turn from the start of battle",2024-07-08 11:02:03.141563,2024-07-08 11:02:03.141563
