id,standby_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
1,1,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
2,1,1,{},0,5,116,,"{""type"":""energy_ball"",""gauge_value"":[30],""count_multiplier"":15,""max_effect_value"":4830}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
3,1,1,{},0,1,103,,"[4026400,0,1698]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
4,2,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
5,2,1,{},0,5,116,,"{""type"":""energy_ball"",""gauge_value"":[30],""count_multiplier"":15,""max_effect_value"":4830}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
6,2,1,{},0,1,103,,"[4026401,0,1694]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
7,3,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
8,3,1,{},0,5,116,,"{""type"":""energy_ball"",""gauge_value"":[39],""count_multiplier"":20,""max_effect_value"":6440}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
9,3,1,{},0,1,103,,"[4025740,0,1699]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
10,4,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
11,4,1,{},0,5,116,,"{""type"":""energy_ball"",""gauge_value"":[39],""count_multiplier"":20,""max_effect_value"":6440}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
12,4,1,{},0,1,103,,"[4025741,0,1700]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
13,5,1,{},0,5,115,,"{""type"":""revival"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
14,5,1,{},0,1,103,,"[4025780,0,1701]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
15,6,1,{},0,5,115,,"{""type"":""revival"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
16,6,1,{},0,1,103,,"[4025781,0,1702]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
17,7,1,{},0,4,115,,"{""type"":""revival"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
18,7,1,{},0,1,103,,"[4026540,0,1735]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
19,8,1,{},0,4,115,,"{""type"":""revival"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
20,8,1,{},0,1,103,,"[4026541,0,1736]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
21,9,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
22,9,1,{},0,4,116,,"{""type"":""energy_ball"",""gauge_value"":[30],""count_multiplier"":1,""max_effect_value"":30,""ball_type_multiplier"":[1,1,2,1,1,2]}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
23,9,1,{},0,1,103,,"[4026910,0,1743]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
24,10,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
25,10,1,{},0,4,116,,"{""type"":""energy_ball"",""gauge_value"":[30],""count_multiplier"":1,""max_effect_value"":30,""ball_type_multiplier"":[1,1,2,1,1,2]}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
26,10,1,{},0,1,103,,"[4026911,0,1744]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
27,11,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
28,11,1,{},0,4,116,,"{""type"":""attack"",""gauge_value"":[1],""count_multiplier"":50,""max_effect_value"":12100}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
29,11,1,{},0,1,103,,"[4027300,0,1754]",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
30,12,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,,2024-07-30 10:30:30.806304,2024-07-30 10:30:30.806304
