id,rmbattle_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
1001,1001,11,Point::Stone,1,0,Dragon Stone x1,Enter an Ultimate Clash.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1002,1002,2000,TreasureItem,1500,0,Battlefield Memory x1500,[Weekly] Clear 3 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1003,1003,7,TrainingField,3,0,Gravity Chamber (150G) x3,Clear 1 stage.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1004,1004,11,Point::Stone,3,0,Dragon Stone x3,Clear 2 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1005,1005,1002630,Card,1,765122,[1 Million Zeni] Hercule Statue (Gold) x1,Clear 3 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1006,1006,1002630,Card,1,765122,[1 Million Zeni] Hercule Statue (Gold) x1,Clear 4 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1007,1007,11,Point::Stone,5,0,Dragon Stone x5,Clear 5 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1008,1008,1,PotentialItem,500,0,AGL Potential Orb (S) x500,Clear 6 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1009,1008,2,PotentialItem,500,0,TEQ Potential Orb (S) x500,Clear 6 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1010,1008,3,PotentialItem,500,0,INT Potential Orb (S) x500,Clear 6 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1011,1008,4,PotentialItem,500,0,STR Potential Orb (S) x500,Clear 6 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1012,1008,5,PotentialItem,500,0,PHY Potential Orb (S) x500,Clear 6 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1013,1009,6,PotentialItem,300,0,AGL Potential Orb (M) x300,Clear 7 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1014,1009,7,PotentialItem,300,0,TEQ Potential Orb (M) x300,Clear 7 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1015,1009,8,PotentialItem,300,0,INT Potential Orb (M) x300,Clear 7 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1016,1009,9,PotentialItem,300,0,STR Potential Orb (M) x300,Clear 7 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
1017,1009,10,PotentialItem,300,0,PHY Potential Orb (M) x300,Clear 7 stages.,2024-06-05 09:22:49.389718,2024-06-05 09:22:49.389718
