id,rmbattle_id,type,name,priority,target_value,conditions,is_attention,created_at,updated_at
1001,1,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1002,1,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear 3 stages.,999,3,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1003,1,RMBattleMission::StageClearMission::CountMission,Clear 1 stage.,998,1,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1004,1,RMBattleMission::StageClearMission::CountMission,Clear 2 stages.,997,2,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1005,1,RMBattleMission::StageClearMission::CountMission,Clear 3 stages.,996,3,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1006,1,RMBattleMission::StageClearMission::CountMission,Clear 4 stages.,995,4,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1007,1,RMBattleMission::StageClearMission::CountMission,Clear 5 stages.,994,5,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1008,1,RMBattleMission::StageClearMission::CountMission,Clear 6 stages.,993,6,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1009,1,RMBattleMission::StageClearMission::CountMission,Clear 7 stages.,992,7,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1010,1,RMBattleMission::StageClearMission::CountMission,Clear 8 stages.,991,8,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1011,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,988,1,"{""level"":1}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1012,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,987,2,"{""level"":1}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1013,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,986,3,"{""level"":1}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1014,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 4 times.,985,4,"{""level"":1}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1015,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 5 times.,984,5,"{""level"":1}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1016,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,983,1,"{""level"":2}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1017,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,982,2,"{""level"":2}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1018,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,981,3,"{""level"":2}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1019,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 4 times.,980,4,"{""level"":2}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1020,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 5 times.,979,5,"{""level"":2}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1021,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,978,1,"{""level"":3}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1022,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,977,2,"{""level"":3}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1023,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,976,3,"{""level"":3}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1024,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 4 times.,975,4,"{""level"":3}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
1025,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 5 times.,974,5,"{""level"":3}",0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2001,2,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2002,2,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear 3 stages.,999,3,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2003,2,RMBattleMission::StageClearMission::CountMission,Clear 1 stage.,998,1,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2004,2,RMBattleMission::StageClearMission::CountMission,Clear 2 stages.,997,2,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2005,2,RMBattleMission::StageClearMission::CountMission,Clear 3 stages.,996,3,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2006,2,RMBattleMission::StageClearMission::CountMission,Clear 4 stages.,995,4,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2007,2,RMBattleMission::StageClearMission::CountMission,Clear 5 stages.,994,5,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2008,2,RMBattleMission::StageClearMission::CountMission,Clear 6 stages.,993,6,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
2009,2,RMBattleMission::StageClearMission::CountMission,Clear 7 stages.,992,7,{},0,2024-07-24 07:36:36.841813,2024-07-24 07:36:36.841813
