id,category,name,pack_name,scene_name,red,green,blue,alpha,lite_flicker_rate,created_at,updated_at
1,1,打撃（小）,battle_00000,ef_001,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
2,1,打撃（中）,battle_00000,ef_002,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
3,1,打撃（大）,battle_00000,ef_003,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
4,1,打撃（クリティカル）,battle_00000,ef_004,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
5,1,蹴りHIT(小）,battle_00000,ef_005,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
6,1,蹴りHIT(大）,battle_00000,ef_006,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
7,1,斬HIT(縦斬り）,battle_00000,ef_007,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
8,1,斬HIT(突き切り）,battle_00000,ef_008,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
9,1,拳銃HIT(小）,battle_00000,ef_009,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
10,1,拳銃HIT(大）,battle_00000,ef_010,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
11,1,気弾HIT色替えも,battle_00000,ef_011,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
12,1,打撃（小）/敵用,battle_00000,ef_012,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
13,1,打撃（中）/敵用,battle_00000,ef_013,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
14,1,打撃（大）/敵用,battle_00000,ef_014,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
15,1,打撃（クリティカル）/敵用,battle_00000,ef_015,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
16,1,蹴りHIT(小）/敵用,battle_00000,ef_016,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
17,1,蹴りHIT(大）/敵用,battle_00000,ef_017,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
18,1,斬HIT(小）/敵用,battle_00000,ef_018,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
19,1,斬HIT(大）/敵用,battle_00000,ef_019,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
20,1,拳銃HIT(小）/敵用,battle_00000,ef_020,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
21,1,拳銃HIT(大）/敵用,battle_00000,ef_021,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
22,1,気弾HIT,battle_00000,ef_022,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
23,1,ガード,battle_00000,ef_023,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
24,1,クリティカル/ブレイク,battle_00000,ef_024,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
25,1,クリティカル/ブレイク/敵,battle_00000,ef_025,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
30,1,必殺技用打撃エフェクト1,battle_00001,ef_001,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
31,1,必殺技用打撃エフェクト2,battle_00001,ef_002,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
32,1,必殺技用打撃エフェクト3,battle_00001,ef_003,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
40,1,必殺技用斬撃エフェクト1,battle_00002,ef_001,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
41,1,必殺技用斬撃エフェクト2,battle_00002,ef_002,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
42,1,必殺技用斬撃エフェクト3,battle_00002,ef_003,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
100,1,銃マズル,battle_20000,ef_001,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
200,1,気弾マズル,battle_20001,ef_001,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
201,1,気弾出る,battle_20001,ef_002,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
202,1,気弾ループ,battle_20001,ef_003,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
203,1,気弾消える,battle_20001,ef_004,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
210,1,気弾マズル/敵,battle_20101,ef_001,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
211,1,気弾出る/敵,battle_20101,ef_002,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
212,1,気弾ループ/敵,battle_20101,ef_003,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
213,1,気弾消える/敵,battle_20101,ef_004,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
220,1,気弾マズル/敵,battle_20201,ef_001,255,255,255,255,70,2024-07-24 07:40:01.464996,2024-07-24 07:40:01.464996
