id,level_bg_id,name,description,rarity,zeni,selling_exchange_point,exp,elements,multiplier,addend,card_training_field_exp_up_prob_id,created_at,updated_at
1,33,Wasteland,Gain more EXP with other Training Locations.,0,0,0,0,0,1.0,0,0,2024-05-17 11:39:42.042756,2024-05-17 11:39:42.042756
2,34,Korin's Tower,"Gain an extra 10,000 EXP per 
Training Partner or Training Item kind.",0,10000,2,0,0,1.0,10000,0,2024-05-17 11:39:42.043685,2024-05-17 11:39:42.043685
3,10,Kami's Lookout,"Gain an extra 20,000 EXP per 
Training Partner or Training Item kind.",1,20000,4,0,0,1.0,20000,0,2024-05-17 11:39:42.044315,2024-05-17 11:39:42.044315
4,35,Snake Way,"Gain an extra 30,000 EXP per 
Training Partner or Training Item kind.",2,30000,8,0,0,1.0,30000,0,2024-05-17 11:39:42.044898,2024-05-17 11:39:42.044898
5,11,King Kai's Planet (10G),"Conducting training in this location 
guarantees a Big Success.",2,5000,20,0,0,1.0,0,1,2024-05-17 11:39:42.045457,2024-05-17 11:39:42.045457
6,36,Gravity Chamber (50G),"Conducting training in this location 
guarantees a Great Success.",3,10000,30,0,0,1.0,0,2,2024-05-17 11:39:42.045988,2024-05-17 11:39:42.045988
7,37,Gravity Chamber (150G),"Conducting training in this location 
guarantees a Super Success.",3,15000,100,0,0,1.0,0,3,2024-05-17 11:39:42.046509,2024-05-17 11:39:42.046509
8,3,Supreme Kai's Planet,"Gain an extra 50,000 EXP per 
Training Partner or Training Item kind.",3,50000,40,0,0,1.0,50000,0,2024-05-17 11:39:42.047038,2024-05-17 11:39:42.047038
9,13,Hyperbolic Chamber (1D),Hyperbolic Chamber (1D),3,0,0,0,0,1.0,0,0,2024-05-17 11:39:42.047578,2024-05-17 11:39:42.047578
11,43,Beerus' Planet,"Gain an extra 70,000 EXP per 
Training Partner or Training Item kind.",3,70000,50,0,0,1.0,70000,0,2024-05-17 11:39:42.048107,2024-05-17 11:39:42.048107
12,143,Gravity Chamber (300G),"Gain an extra 40,000 EXP per Training Partner 
or Training Item kind. Conducting training 
in this location guarantees a Super Success.",3,55000,130,0,0,1.0,40000,3,2024-05-17 11:39:42.048631,2024-05-17 11:39:42.048631
13,13,Chamber of Spirit and Time,"Gain an extra 90,000 EXP per Training Partner 
or Training Item kind. Conducting training in 
this location guarantees a Super Success.",3,105000,160,0,0,1.0,90000,3,2024-05-17 11:39:42.049195,2024-05-17 11:39:42.049195
