id,card_id,exp,created_at,updated_at
1,1002630,765122,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
2,1002640,93879,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
3,1002650,11333,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
4,1005480,765122,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
5,1011480,765122,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
6,1011481,1500000,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
7,1013780,2886279,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
8,1013781,5000000,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
9,1023820,765122,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
10,1023821,1500000,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
11,1028070,765122,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
12,1028640,765122,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
13,1029211,1500000,2024-06-05 09:25:55.179127,2024-06-05 09:25:55.179127
