id,name,description,rarity,priority,created_at,updated_at
1,Special Sticker,"Use this Special Sticker to apply 
an exclusive visual effect.",5,9999,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
2,Special Sticker: [Culmination of Hope] Goku (GT),"Use this Special Sticker to apply 
an exclusive visual effect to 
[Culmination of Hope] Goku (GT).",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
3,Special Sticker: [The Power of a God Unleashed] Super Saiyan God SS Vegeta,"Use this Special Sticker to apply 
an exclusive visual effect to 
[The Power of a God Unleashed] 
Super Saiyan God SS Vegeta.",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
4,Special Sticker: [Hope for Growth] Gohan (Kid),"Use this Special Sticker to apply 
an exclusive visual effect to 
[Hope for Growth] Gohan (Kid).",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
5,Special Sticker: [Young Saiyan Descendant] Super Saiyan Vegeta Jr.,"Use this Special Sticker to apply 
an exclusive visual effect to 
[Young Saiyan Descendant] 
Super Saiyan Vegeta Jr.",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
6,Special Sticker: [Courage Awakened] Super Saiyan Goku Jr.,"Use this Special Sticker to apply 
an exclusive visual effect to 
[Courage Awakened] 
Super Saiyan Goku Jr.",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
7,Special Sticker: [Storm of Terror] Frieza (2nd Form),"Use this Special Sticker to apply 
an exclusive visual effect to 
[Storm of Terror] Frieza (2nd Form).",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
8,Special Sticker: [Becoming a Furious God] Super Saiyan God SS Goku,"Use this Special Sticker to apply 
an exclusive visual effect to 
[Becoming a Furious God] 
Super Saiyan God SS Goku.",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
9,Special Sticker: [Battle as a Namekian] Piccolo,"Use this Special Sticker to apply 
an exclusive visual effect to 
[Battle as a Namekian] Piccolo.",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
10,Special Sticker: [Into the Final Phase] Gogeta,"Use this Special Sticker to apply 
an exclusive visual effect to 
[Into the Final Phase] Gogeta.",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
11,Special Sticker (Character-Exclusive),"Use this Special Sticker to apply 
an exclusive visual effect to certain characters 
whose names include ""Gohan"", ""Goku"" or ""Goten"".",5,101,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
12,Special Sticker: [New Instinct of the Awakened One] Goku (Ultra Instinct -Sign-),"Use this Special Sticker to apply 
an exclusive visual effect to 
[New Instinct of the Awakened One] 
Goku (Ultra Instinct -Sign-).",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
13,"Special Sticker: Gohan, Goku and Goten Day 2021","Use this Special Sticker to apply 
an exclusive visual effect to certain characters 
whose names include ""Gohan"", ""Goku"" or ""Goten"".",5,101,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
14,Special Sticker (Figure Collaboration),"Use this Special Sticker to apply 
an exclusive visual effect to certain characters 
whose names are ""Super Saiyan God SS Goku"" 
or ""Super Saiyan God SS Goku (Kaioken)"".",5,1,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
15,"Special Sticker: Gohan, Goku and Goten Day 2022","Use this Special Sticker to apply 
an exclusive visual effect to certain characters 
whose names include ""Gohan"", ""Goku"" or ""Goten"".",5,101,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
16,"Special Sticker: Gohan, Goku and Goten Day 2023","Use this Special Sticker to apply 
an exclusive visual effect to certain characters 
whose names include ""Gohan"", ""Goku"" or ""Goten"".",5,101,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
17,"Special Sticker: Gohan, Goku and Goten Day 2024","Use this Special Sticker to apply 
an exclusive visual effect to certain characters 
whose names include ""Gohan"", ""Goku"" or ""Goten"".",5,101,2024-07-16 08:42:26.288474,2024-07-16 08:42:26.288474
