id,chain_battle_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
1000,1,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle once.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1001,2,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 2 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1002,3,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 3 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1003,4,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 4 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1004,5,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 5 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1005,6,2001,TreasureItem,10,0,Emblem of Cooperation x10,"[Daily] Send a ""NICE"".",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1006,7,2001,TreasureItem,20,0,Emblem of Cooperation x20,Edit your Supporters.,2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1007,8,2001,TreasureItem,80,0,Emblem of Cooperation x80,Engage in a Chain Battle 15 times.,2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1008,9,2001,TreasureItem,100,0,Emblem of Cooperation x100,Engage in a Chain Battle 20 times.,2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1009,10,11,Point::Stone,1,0,Dragon Stone x1,Engage in a Chain Battle 30 times.,2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1010,10,2001,TreasureItem,150,0,Emblem of Cooperation x150,Engage in a Chain Battle 30 times.,2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1011,11,1003970,Card,1,0,[Mysterious Ritual] Elder Kai x1,"Deal 1 billion or more damage 
during the event period.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1012,11,11,Point::Stone,2,0,Dragon Stone x2,"Deal 1 billion or more damage 
during the event period.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1013,11,2001,TreasureItem,100,0,Emblem of Cooperation x100,"Deal 1 billion or more damage 
during the event period.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1014,12,1,CardStickerItem,1,0,Special Sticker x1,"Deal 1.5 billion or more damage 
during the event period.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1015,12,11,Point::Stone,3,0,Dragon Stone x3,"Deal 1.5 billion or more damage 
during the event period.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1016,12,2001,TreasureItem,150,0,Emblem of Cooperation x150,"Deal 1.5 billion or more damage 
during the event period.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1017,13,2001,TreasureItem,80,0,Emblem of Cooperation x80,"Deal 10 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1018,14,2001,TreasureItem,100,0,Emblem of Cooperation x100,"Deal 20 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1019,15,1003970,Card,1,0,[Mysterious Ritual] Elder Kai x1,"Deal 30 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1020,15,11,Point::Stone,2,0,Dragon Stone x2,"Deal 30 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1021,15,2001,TreasureItem,120,0,Emblem of Cooperation x120,"Deal 30 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1022,16,2001,TreasureItem,150,0,Emblem of Cooperation x150,"Deal 40 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1023,16,1,PotentialItem,1000,0,AGL Potential Orb (S) x1000,"Deal 40 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1024,16,2,PotentialItem,1000,0,TEQ Potential Orb (S) x1000,"Deal 40 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1025,16,3,PotentialItem,1000,0,INT Potential Orb (S) x1000,"Deal 40 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1026,16,4,PotentialItem,1000,0,STR Potential Orb (S) x1000,"Deal 40 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1027,16,5,PotentialItem,1000,0,PHY Potential Orb (S) x1000,"Deal 40 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1028,17,2001,TreasureItem,200,0,Emblem of Cooperation x200,"Deal 50 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1029,17,6,PotentialItem,500,0,AGL Potential Orb (M) x500,"Deal 50 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1030,17,7,PotentialItem,500,0,TEQ Potential Orb (M) x500,"Deal 50 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1031,17,8,PotentialItem,500,0,INT Potential Orb (M) x500,"Deal 50 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1032,17,9,PotentialItem,500,0,STR Potential Orb (M) x500,"Deal 50 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1033,17,10,PotentialItem,500,0,PHY Potential Orb (M) x500,"Deal 50 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1034,18,11,Point::Stone,3,0,Dragon Stone x3,"Deal 60 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1035,18,2001,TreasureItem,250,0,Emblem of Cooperation x250,"Deal 60 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1036,18,11,PotentialItem,50,0,AGL Potential Orb (L) x50,"Deal 60 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1037,18,12,PotentialItem,50,0,TEQ Potential Orb (L) x50,"Deal 60 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1038,18,13,PotentialItem,50,0,INT Potential Orb (L) x50,"Deal 60 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1039,18,14,PotentialItem,50,0,STR Potential Orb (L) x50,"Deal 60 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1040,18,15,PotentialItem,50,0,PHY Potential Orb (L) x50,"Deal 60 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1041,19,2001,TreasureItem,300,0,Emblem of Cooperation x300,"Deal 70 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1042,20,2001,TreasureItem,400,0,Emblem of Cooperation x400,"Deal 80 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1043,21,11,Point::Stone,4,0,Dragon Stone x4,"Deal 90 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1044,21,2001,TreasureItem,500,0,Emblem of Cooperation x500,"Deal 90 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1045,22,1003970,Card,2,0,[Mysterious Ritual] Elder Kai x2,"Deal 100 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1046,22,11,Point::Stone,5,0,Dragon Stone x5,"Deal 100 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1047,22,2001,TreasureItem,600,0,Emblem of Cooperation x600,"Deal 100 million or more damage 
in a single battle.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1048,23,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle once.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1049,24,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 2 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1050,25,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 3 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1051,26,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 4 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
1052,27,2001,TreasureItem,20,0,Emblem of Cooperation x20,"[Daily] 
Engage in a Chain Battle 5 times.",2024-06-18 10:29:30.593490,2024-06-18 10:29:30.593490
