id,type,amount,created_at,updated_at
11,Point::Stone,1,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
12,Point::GashaPoint,1,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
13,Point::Zeni,1,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
14,Point::ExchangePoint,1,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
21,Point::Stone,2,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
31,Point::Stone,3,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
41,Point::Stone,4,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
51,Point::Stone,5,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
71,Point::Stone,7,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
101,Point::Stone,10,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
502,Point::GashaPoint,50,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
1002,Point::GashaPoint,100,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
2002,Point::GashaPoint,200,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
5002,Point::GashaPoint,500,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
5003,Point::Zeni,500,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
10002,Point::GashaPoint,1000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
10003,Point::Zeni,1000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
12003,Point::Zeni,1200,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
15003,Point::Zeni,1500,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
20002,Point::GashaPoint,2000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
30002,Point::GashaPoint,3000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
30003,Point::Zeni,3000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
50002,Point::GashaPoint,5000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
50003,Point::Zeni,5000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
70003,Point::Zeni,7000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
100002,Point::GashaPoint,10000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
100003,Point::Zeni,10000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
125003,Point::Zeni,12500,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
500003,Point::Zeni,50000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
590003,Point::Zeni,59000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
1000003,Point::Zeni,100000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
10000003,Point::Zeni,1000000,2024-07-24 07:38:25.331296,2024-07-24 07:38:25.331296
