id,bgm_id,scene_name,start_at,end_at,created_at,updated_at
1,8,HomeMenuScene,2019-01-15 00:00:00,2019-01-15 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
2,9999,HomeMenuScene,2019-01-16 00:00:00,2019-01-16 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
3,139,HomeMenuScene,2021-04-01 00:00:00,2021-04-01 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
4,170,HomeMenuScene,2022-04-01 00:00:00,2022-04-01 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
5,168,HomeMenuScene,2022-08-08 00:00:00,2022-08-15 06:29:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
6,180,HomeMenuScene,2022-07-26 05:00:00,2022-08-07 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
7,212,HomeMenuScene,2022-08-26 06:00:00,2022-09-09 05:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
8,213,HomeMenuScene,2022-09-09 06:00:00,2022-10-03 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
9,230,HomeMenuScene,2022-12-27 15:00:00,2023-01-30 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
10,168,HomeMenuScene,2023-07-07 00:00:00,2023-07-17 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
11,247,HomeMenuScene,2023-07-18 00:00:00,2023-07-20 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
12,248,HomeMenuScene,2023-07-21 00:00:00,2023-07-25 04:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
13,246,HomeMenuScene,2023-07-25 05:00:00,2023-07-28 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
14,249,HomeMenuScene,2023-07-29 00:00:00,2023-08-01 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
15,251,HomeMenuScene,2023-08-02 00:00:00,2023-08-06 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
16,253,HomeMenuScene,2023-08-07 00:00:00,2023-08-11 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
17,304,HomeMenuScene,2023-08-25 06:00:00,2023-09-14 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
18,306,HomeMenuScene,2023-09-15 00:00:00,2023-10-04 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
19,301,HomeMenuScene,2023-11-03 00:00:00,2023-11-29 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
20,326,HomeMenuScene,2024-04-01 00:00:00,2024-04-25 23:59:59,2024-06-18 10:29:16.669620,2024-06-18 10:29:16.669620
