id,name,description,grade,selling_exchange_point,hp,attack,defense,equipment_skill_limitation_set_id,icon_image_id,is_eternal,created_at,updated_at
1,Skill Orb (AGL) HP + Lv. 1,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +100.",bronze,1,100,0,0,1,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
2,Skill Orb (AGL) HP + Lv. 2,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +200.",bronze,1,200,0,0,1,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
3,Skill Orb (AGL) HP + Lv. 3,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +300.",bronze,1,300,0,0,1,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
4,Skill Orb (AGL) HP + Lv. 4,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +400.",bronze,1,400,0,0,1,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
5,Skill Orb (AGL) HP + Lv. 5,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +500.",bronze,1,500,0,0,1,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
6,Skill Orb (AGL) ATK + Lv. 1,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's ATK +100.",bronze,1,0,100,0,1,10,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
7,Skill Orb (AGL) ATK + Lv. 2,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's ATK +200.",bronze,1,0,200,0,1,10,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
8,Skill Orb (AGL) ATK + Lv. 3,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's ATK +300.",bronze,1,0,300,0,1,10,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
9,Skill Orb (AGL) ATK + Lv. 4,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's ATK +400.",bronze,1,0,400,0,1,10,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
10,Skill Orb (AGL) ATK + Lv. 5,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's ATK +500.",bronze,1,0,500,0,1,10,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
11,Skill Orb (AGL) DEF + Lv. 1,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's DEF +100.",bronze,1,0,0,100,1,9,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
12,Skill Orb (AGL) DEF + Lv. 2,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's DEF +200.",bronze,1,0,0,200,1,9,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
13,Skill Orb (AGL) DEF + Lv. 3,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's DEF +300.",bronze,1,0,0,300,1,9,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
14,Skill Orb (AGL) DEF + Lv. 4,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's DEF +400.",bronze,1,0,0,400,1,9,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
15,Skill Orb (AGL) DEF + Lv. 5,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's DEF +500.",bronze,1,0,0,500,1,9,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
16,Skill Orb (TEQ) HP + Lv. 1,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +100.",bronze,1,100,0,0,2,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
17,Skill Orb (TEQ) HP + Lv. 2,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +200.",bronze,1,200,0,0,2,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
18,Skill Orb (TEQ) HP + Lv. 3,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +300.",bronze,1,300,0,0,2,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
19,Skill Orb (TEQ) HP + Lv. 4,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +400.",bronze,1,400,0,0,2,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
20,Skill Orb (TEQ) HP + Lv. 5,"A Skill Orb you can equip to a UR/LR character. 
Equipped character's HP +500.",bronze,1,500,0,0,2,8,0,2024-06-05 09:25:53.788787,2024-06-05 09:25:53.788787
