id,card_id,skill_lv,condition,probability,created_at,updated_at
6,1003970,1,0,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
7,1009850,1,0,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
8,1012230,1,1,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
9,1012240,1,1,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
10,1012250,1,1,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
11,1012260,1,1,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
12,1012270,1,1,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
13,1013400,1,0,30,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
14,1015860,1,0,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
15,1018550,1,0,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
16,1021510,1,0,100,2024-07-16 08:42:26.304960,2024-07-16 08:42:26.304960
