id,finish_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
1,1,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
2,1,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
3,1,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
4,1,1,{},0,1,118,,"[15,435,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
5,2,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
6,2,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
7,2,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
8,2,1,{},0,1,118,,"[15,4830,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
9,3,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
10,3,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
11,3,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
12,3,1,{},0,1,118,,"[15,570,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
13,4,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
14,4,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
15,4,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
16,4,1,{},0,1,118,,"[20,6440,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
17,5,1,{},0,1,115,,"{""type"":""revival"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
18,5,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
19,6,1,{},0,1,115,,"{""type"":""revival"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
20,6,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
21,7,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
22,7,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
23,7,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
24,7,1,{},0,1,4,2.0,"[30,0,0]",,46.0,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
25,7,1,{},0,3,5,0.0,"[3,0,0]",5014.0,43.0,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
26,8,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
27,8,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
28,8,1,{},0,1,103,,"[4026920,0,1745]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
29,9,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
30,9,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
31,9,1,{},0,1,103,,"[4026921,0,1746]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
32,10,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
33,10,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
34,10,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
35,10,1,{},0,1,118,,"[50,12100,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
36,11,1,{},0,1,115,,"{""type"":""special_counter"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
37,11,1,{},0,1,119,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
38,11,1,{},0,1,120,,"[0,100,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
39,11,1,{},0,1,90,,"[100,0,0]",5011.0,44.0,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
40,11,1,{},0,1,117,,"[0,0,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
41,12,1,{},0,1,110,,"[15,37,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
42,12,1,{},0,1,110,,"[15,38,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
43,13,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
44,13,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
45,13,1,{},0,1,118,,"[100,24200,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
46,13,3,{},0,1,9,,"[0,0,0]",5015.0,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
47,13,1,{},0,1,103,,"[4028390,0,1791]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
48,14,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
49,14,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
50,14,1,{},0,1,118,,"[100,24200,0]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
51,14,3,{},0,1,9,,"[0,0,0]",5015.0,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
52,14,1,{},0,1,103,,"[4028391,0,1792]",,,2024-07-24 07:39:51.979703,2024-07-24 07:39:51.979703
