id,budokai_box_ranking_reward_range_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
18,9,1009210,Card,2,0,Piccolo x2,Rewards for the 1st place in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
19,9,40001,AwakeningItem,40,0,Master's Mark x40,Rewards for the 1st place in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
20,9,2,SpecialItem,3,0,(Gold) World Tournament Ticket x3,Rewards for the 1st place in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
21,9,11,Point::Stone,1,0,Dragon Stone x1,Rewards for the 1st place in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
22,9,1002630,Card,1,765122,Hercule Statue (Gold) x1,Rewards for the 1st place in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
23,9,6,SupportItem,5,0,Senzu Bean x5,Rewards for the 1st place in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
24,10,1009210,Card,1,0,Piccolo x1,Rewards for the 2nd & 3rd places in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
25,10,40001,AwakeningItem,40,0,Master's Mark x40,Rewards for the 2nd & 3rd places in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
26,10,2,SpecialItem,2,0,(Gold) World Tournament Ticket x2,Rewards for the 2nd & 3rd places in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
27,10,11,Point::Stone,1,0,Dragon Stone x1,Rewards for the 2nd & 3rd places in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
28,10,1002630,Card,1,765122,Hercule Statue (Gold) x1,Rewards for the 2nd & 3rd places in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
29,10,6,SupportItem,5,0,Senzu Bean x5,Rewards for the 2nd & 3rd places in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
30,11,1009210,Card,1,0,Piccolo x1,Rewards for the 4th–10th places in Local Ranking,2024-06-05 09:25:46.715272,2024-06-05 09:25:46.715272
