id,budokai_ranking_gift_set_id,description,item_type,item_id,quantity,card_exp_init,created_at,updated_at
1,1,(Deadly Awakening) Super Saiyan Goku x 2,Card,1003500,2,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
2,1,(Infinite Potential) Uub x 3,Card,1002030,3,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
3,1,(Reaching New Heights) Goku x 3,Card,1003140,3,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
4,1,Awakening Medals - 137 in total,AwakeningItem,19,1,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
5,1,"Training Items - 50 in total, Senzu Beans x 10",AwakeningItem,20,1,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
6,1,Kibito Awakening Medals x 5,AwakeningItem,14,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
7,1,West Kai Awakening Medals x 5,AwakeningItem,15,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
8,1,South Kai Awakening Medals x 5,AwakeningItem,16,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
9,1,East Kai Awakening Medals x 5,AwakeningItem,17,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
10,1,North Kai Awakening Medals x 5,AwakeningItem,18,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
11,1,Kami Awakening Medals x 5,AwakeningItem,9,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
12,1,Grand Elder Guru Awakening Medals x 5,AwakeningItem,10,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
13,1,Babidi Awakening Medals x 5,AwakeningItem,11,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
14,1,Bibidi Awakening Medals x 5,AwakeningItem,12,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
15,1,Korin Awakening Medals x 5,AwakeningItem,13,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
16,1,Mr. Popo Awakening Medals x 5,AwakeningItem,4,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
17,1,Master Shen Awakening Medals x 5,AwakeningItem,5,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
18,1,Master Roshi Awakening Medals x 5,AwakeningItem,6,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
19,1,Mutaito Awakening Medals x 5,AwakeningItem,7,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
20,1,Grandpa Gohan Awakening Medals x 5,AwakeningItem,8,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
21,1,Gregory Awakening Medals x 20,AwakeningItem,1,20,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
22,1,Bubbles Awakening Medals x 20,AwakeningItem,2,20,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
23,1,Dr. Gero Awakening Medals x 20,AwakeningItem,3,20,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
24,1,Z-Sword AGL x 5,TrainingItem,900,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
25,1,Z-Sword TEQ x 5,TrainingItem,901,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
26,1,Z-Sword INT x 5,TrainingItem,902,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
27,1,Z-Sword STR x 5,TrainingItem,903,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
28,1,Z-Sword PHY x 5,TrainingItem,904,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
29,1,Weight (10t) AGL x 5,TrainingItem,800,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
30,1,Weight (10t) TEQ x 5,TrainingItem,801,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
31,1,Weight (10t) INT x 5,TrainingItem,802,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
32,1,Weight (10t) STR x 5,TrainingItem,803,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
33,1,Weight (10t) PHY x 5,TrainingItem,804,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
34,1,Senzu Beans x 10,SupportItem,6,10,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
35,2,(Deadly Awakening) Super Saiyan Goku,Card,1003500,1,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
36,2,(Infinite Potential) Uub x 3,Card,1002030,3,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
37,2,Awakening Medals - 137 in total,AwakeningItem,19,1,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
38,2,Training Items - 50 in total,AwakeningItem,20,1,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
39,2,Senzu Beans x 10,AwakeningItem,14,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
40,2,West Kai Awakening Medals x 5,AwakeningItem,15,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
41,2,South Kai Awakening Medals x 5,AwakeningItem,16,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
42,2,East Kai Awakening Medals x 5,AwakeningItem,17,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
43,2,North Kai Awakening Medals x 5,AwakeningItem,18,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
44,2,Kami Awakening Medals x 5,AwakeningItem,9,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
45,2,Grand Elder Guru Awakening Medals x 5,AwakeningItem,10,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
46,2,Babidi Awakening Medals x 5,AwakeningItem,11,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
47,2,Bibidi Awakening Medals x 5,AwakeningItem,12,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
48,2,Korin Awakening Medals x 5,AwakeningItem,13,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
49,2,Mr. Popo Awakening Medals x 5,AwakeningItem,4,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
50,2,Master Shen Awakening Medals x 5,AwakeningItem,5,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
51,2,Master Roshi Awakening Medals x 5,AwakeningItem,6,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
52,2,Mutaito Awakening Medals x 5,AwakeningItem,7,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
53,2,Grandpa Gohan Awakening Medals x 5,AwakeningItem,8,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
54,2,Gregory Awakening Medals x 20,AwakeningItem,1,20,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
55,2,Bubbles Awakening Medals x 20,AwakeningItem,2,20,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
56,2,Dr. Gero Awakening Medals x 20,AwakeningItem,3,20,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
57,2,Z-Sword AGL x 5,TrainingItem,900,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
58,2,Z-Sword TEQ x 5,TrainingItem,901,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
59,2,Z-Sword INT x 5,TrainingItem,902,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
60,2,Z-Sword STR x 5,TrainingItem,903,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
61,2,Z-Sword PHY x 5,TrainingItem,904,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
62,2,Weight (10t) AGL x 5,TrainingItem,800,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
63,2,Weight (10t) TEQ x 5,TrainingItem,801,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
64,2,Weight (10t) INT x 5,TrainingItem,802,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
65,2,Weight (10t) STR x 5,TrainingItem,803,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
66,2,Weight (10t) PHY x 5,TrainingItem,804,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
67,2,Senzu Beans x 10,SupportItem,6,10,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
68,3,(Infinite Potential) Uub x 3,Card,1002030,3,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
69,3,(Reaching New Heights) Goku x 3,Card,1003140,3,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
70,3,Awakening Medals - 137 in total,AwakeningItem,19,1,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
71,3,Training Items - 50 in total,AwakeningItem,20,1,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
72,3,Senzu Beans x 10,AwakeningItem,14,5,0,2024-06-18 10:28:54.350409,2024-06-18 10:28:54.350409
