id,budokai_box_ranking_reward_range_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
18,9,1009210,Card,2,0,Piccolo x2,Rewards for the 1st place in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
19,9,40001,AwakeningItem,40,0,Master's Mark x40,Rewards for the 1st place in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
20,9,2,SpecialItem,3,0,(Gold) World Tournament Ticket x3,Rewards for the 1st place in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
21,9,11,Point::Stone,1,0,Dragon Stone x1,Rewards for the 1st place in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
22,9,1002630,Card,1,765122,Hercule Statue (Gold) x1,Rewards for the 1st place in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
23,9,6,SupportItem,5,0,Senzu Bean x5,Rewards for the 1st place in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
24,10,1009210,Card,1,0,Piccolo x1,Rewards for the 2nd & 3rd places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
25,10,40001,AwakeningItem,40,0,Master's Mark x40,Rewards for the 2nd & 3rd places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
26,10,2,SpecialItem,2,0,(Gold) World Tournament Ticket x2,Rewards for the 2nd & 3rd places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
27,10,11,Point::Stone,1,0,Dragon Stone x1,Rewards for the 2nd & 3rd places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
28,10,1002630,Card,1,765122,Hercule Statue (Gold) x1,Rewards for the 2nd & 3rd places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
29,10,6,SupportItem,5,0,Senzu Bean x5,Rewards for the 2nd & 3rd places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
30,11,1009210,Card,1,0,Piccolo x1,Rewards for the 4th–10th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
31,11,40001,AwakeningItem,30,0,Master's Mark x30,Rewards for the 4th–10th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
32,11,2,SpecialItem,1,0,(Gold) World Tournament Ticket x1,Rewards for the 4th–10th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
33,11,11,Point::Stone,1,0,Dragon Stone x1,Rewards for the 4th–10th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
34,11,1002630,Card,1,765122,Hercule Statue (Gold) x1,Rewards for the 4th–10th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
35,11,6,SupportItem,3,0,Senzu Bean x3,Rewards for the 4th–10th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
36,12,1009210,Card,1,0,Piccolo x1,Rewards for the 11th–20th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
37,12,40001,AwakeningItem,20,0,Master's Mark x20,Rewards for the 11th–20th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
38,12,1,SpecialItem,2,0,(Silver) World Tournament Ticket x2,Rewards for the 11th–20th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
39,12,6,SupportItem,1,0,Senzu Bean x1,Rewards for the 11th–20th places in Local Ranking,2024-05-17 11:40:55.211547,2024-05-17 11:40:55.211547
