id,type,conditions,comment,created_at,updated_at
1,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":20}",素材ID=3:20個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
2,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":10}",素材ID=8:10個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
3,PotentialSquareCondition::PotentialItem,"{""item_id"":13,""quantity"":1}",素材ID=13:1個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
4,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":5}",素材ID=3:5個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
5,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":10}",素材ID=3:10個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
6,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":5}",素材ID=8:5個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
7,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":50}",素材ID=3:50個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
8,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":25}",素材ID=8:25個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
9,PotentialSquareCondition::PotentialItem,"{""item_id"":13,""quantity"":3}",素材ID=13:3個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
10,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":15}",素材ID=8:15個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
11,PotentialSquareCondition::PotentialItem,"{""item_id"":13,""quantity"":2}",素材ID=13:2個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
12,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":30}",素材ID=3:30個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
13,PotentialSquareCondition::SkillLv,"{""skill_lv"":2}",必殺技Lv2以上,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
14,PotentialSquareCondition::SkillLv,"{""skill_lv"":6}",必殺技Lv6以上,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
15,PotentialSquareCondition::SkillLv,"{""skill_lv"":4}",必殺技Lv4以上,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
16,PotentialSquareCondition::PotentialItem,"{""item_id"":3,""quantity"":15}",素材ID=3:15個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
17,PotentialSquareCondition::SkillLv,"{""skill_lv"":8}",必殺技Lv8以上,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
18,PotentialSquareCondition::SkillLv,"{""skill_lv"":10}",必殺技Lv10以上,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
19,PotentialSquareCondition::PotentialItem,"{""item_id"":8,""quantity"":20}",素材ID=8:20個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
20,PotentialSquareCondition::PotentialItem,"{""item_id"":1,""quantity"":10}",素材ID=1:10個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
21,PotentialSquareCondition::PotentialItem,"{""item_id"":6,""quantity"":5}",素材ID=6:5個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
22,PotentialSquareCondition::PotentialItem,"{""item_id"":11,""quantity"":1}",素材ID=11:1個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
23,PotentialSquareCondition::PotentialItem,"{""item_id"":1,""quantity"":20}",素材ID=1:20個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
24,PotentialSquareCondition::PotentialItem,"{""item_id"":6,""quantity"":10}",素材ID=6:10個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
25,PotentialSquareCondition::PotentialItem,"{""item_id"":11,""quantity"":5}",素材ID=11:5個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
26,PotentialSquareCondition::SkillLv,"{""skill_lv"":1}",必殺技Lv1以上,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
27,PotentialSquareCondition::PotentialItem,"{""item_id"":1,""quantity"":5}",素材ID=1:5個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
28,PotentialSquareCondition::PotentialItem,"{""item_id"":6,""quantity"":15}",素材ID=6:15個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
29,PotentialSquareCondition::PotentialItem,"{""item_id"":11,""quantity"":2}",素材ID=11:2個,2024-02-27 09:32:22.550523,2024-02-27 09:32:22.550523
