id,rmbattle_id,type,name,priority,target_value,conditions,is_attention,created_at,updated_at
1001,1,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1002,1,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear 3 stages.,999,3,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1003,1,RMBattleMission::StageClearMission::CountMission,Clear 1 stage.,998,1,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1004,1,RMBattleMission::StageClearMission::CountMission,Clear 2 stages.,997,2,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1005,1,RMBattleMission::StageClearMission::CountMission,Clear 3 stages.,996,3,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1006,1,RMBattleMission::StageClearMission::CountMission,Clear 4 stages.,995,4,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1007,1,RMBattleMission::StageClearMission::CountMission,Clear 5 stages.,994,5,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1008,1,RMBattleMission::StageClearMission::CountMission,Clear 6 stages.,993,6,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1009,1,RMBattleMission::StageClearMission::CountMission,Clear 7 stages.,992,7,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1010,1,RMBattleMission::StageClearMission::CountMission,Clear 8 stages.,991,8,{},0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1011,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,988,1,"{""level"":1}",0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1012,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,987,2,"{""level"":1}",0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1013,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,986,3,"{""level"":1}",0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1014,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 4 times.,985,4,"{""level"":1}",0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1015,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 5 times.,984,5,"{""level"":1}",0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
1016,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,983,1,"{""level"":2}",0,2024-02-27 09:32:27.534538,2024-02-27 09:32:27.534538
