id,chain_battle_help_category_id,num,title,description,created_at,updated_at
1,1,,Requirements and Usable Characters,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
2,1,,Battle Energy,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
3,1,,Attacker,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
4,1,,About Chain Power,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
5,1,,Supporter,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
6,1,,Connector,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
7,1,,Advantageous Characters,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
8,1,,Ranking,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
9,1,,Battle Log,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
10,1,,NICE,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
11,2,,Basic Rules,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
12,2,,Support Battle,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
13,3,,Missions,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
14,3,,"About ""Emblem of Cooperation""",description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
15,3,,Ranking Rewards,description: helps,2024-04-30 09:32:18.133038,2024-04-30 09:32:18.133038
