id,chain_battle_ranking_gift_set_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
1001,1,2001,TreasureItem,5000,0,Emblem of Cooperation x5000,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1002,1,1,CardStickerItem,3,0,Special Sticker x3,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1003,1,1003970,Card,10,0,[Mysterious Ritual] Elder Kai x10,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1004,1,1011481,Card,3,1500000,Hercule Statue (Diamond) x3,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1005,1,11,PotentialItem,250,0,AGL Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1006,1,12,PotentialItem,250,0,TEQ Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1007,1,13,PotentialItem,250,0,INT Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1008,1,14,PotentialItem,250,0,STR Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1009,1,15,PotentialItem,250,0,PHY Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1010,1,6,PotentialItem,2500,0,AGL Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1011,1,7,PotentialItem,2500,0,TEQ Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1012,1,8,PotentialItem,2500,0,INT Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1013,1,9,PotentialItem,2500,0,STR Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1014,1,10,PotentialItem,2500,0,PHY Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1015,1,1,PotentialItem,4500,0,AGL Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1016,1,2,PotentialItem,4500,0,TEQ Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1017,1,3,PotentialItem,4500,0,INT Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1018,1,4,PotentialItem,4500,0,STR Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1019,1,5,PotentialItem,4500,0,PHY Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1020,1,1000,TrainingItem,10,0,Platinum Turtle Shell [AGL] x10,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1021,1,1001,TrainingItem,10,0,Platinum Turtle Shell [TEQ] x10,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1022,1,1002,TrainingItem,10,0,Platinum Turtle Shell [INT] x10,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1023,1,1003,TrainingItem,10,0,Platinum Turtle Shell [STR] x10,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1024,1,1004,TrainingItem,10,0,Platinum Turtle Shell [PHY] x10,Chain Battle Ranking Reward: Top 1%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1025,2,2001,TreasureItem,4500,0,Emblem of Cooperation x4500,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1026,2,1,CardStickerItem,2,0,Special Sticker x2,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1027,2,1003970,Card,7,0,[Mysterious Ritual] Elder Kai x7,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1028,2,1011481,Card,2,1500000,Hercule Statue (Diamond) x2,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1029,2,11,PotentialItem,200,0,AGL Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1030,2,12,PotentialItem,200,0,TEQ Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1031,2,13,PotentialItem,200,0,INT Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1032,2,14,PotentialItem,200,0,STR Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
1033,2,15,PotentialItem,200,0,PHY Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-05-17 11:41:11.868530,2024-05-17 11:41:11.868530
