id,dialog_body_ids,dialog_icon_type,created_at,updated_at
1000,[1000],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
1010,"[1010,1011,1012]",default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
1020,"[1020,1021]",default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
1030,[1030],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
1100,"[1100,1101,1102]",default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
1110,"[1110,1111]",default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
1120,[1120],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2000,[2000],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2010,[2010],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2020,[2020],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2030,[2030],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2040,[2040],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2050,[2050],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2060,[2060],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2070,[2070],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2080,[2080],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2090,[2090],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2100,[2100],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2110,"[2110,2111]",default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2120,[2120],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2200,"[2200,2201]",default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
2210,[2210],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
3000,[3000],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
3010,[3010],default,2024-04-30 09:32:19.668783,2024-04-30 09:32:19.668783
