id,name,bg1_enable,bg1_coef,bg1_flip_disable,bg2_enable,bg2_coef,bg2_flip_disable,bg3_enable,bg3_coef,bg3_flip_disable,bg4_enable,bg4_coef,bg4_flip_disable,created_at,updated_at
1,セルゲーム会場,1,50,1,1,10,1,1,0,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
2,聖地カリン,1,0,1,1,10,1,1,50,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
3,界王神星,1,50,1,1,15,1,1,10,1,1,5,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
4,ナメック星,1,50,1,1,10,1,1,5,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
5,西の都,1,35,1,1,25,1,1,10,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
6,サタンシティ,1,35,1,1,25,1,1,10,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
7,パパイヤ島,1,50,1,1,0,1,1,0,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
8,悟空・フリーザの到着地点,1,35,1,1,25,1,1,10,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
9,カメハウス上空,1,50,1,1,0,1,1,10,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
10,神様の神殿,1,50,1,1,0,1,1,10,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
11,界王星,1,0,1,1,0,1,1,50,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
12,占いババの宮殿,1,50,1,1,0,1,1,10,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
13,精神と時の部屋,1,50,1,1,0,1,0,0,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
14,19号と20号が現れた島,1,50,1,1,25,1,1,10,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
15,バビディの宇宙船隠し場所,1,50,1,1,1,1,0,0,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
16,悟空vs魔人ベジータの決闘地点,1,50,1,1,10,1,1,1,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
17,ユンザビット高地,1,50,1,1,10,1,1,0,1,1,5,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
18,ブウの家付近,1,50,1,1,0,1,1,0,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
19,ラディッツ着地場所,1,50,1,1,10,1,1,0,1,1,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
20,ジンジャータウン,1,50,1,1,25,1,1,5,1,0,0,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
21,中の都,1,50,1,1,0,1,1,5,1,1,10,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
22,パセリシティ,1,50,1,1,25,1,1,15,1,1,10,1,2024-04-30 09:32:17.813062,2024-04-30 09:32:17.813062
