id,support_memory_id,support_memory_enhancement_item_id,quantity,priority,created_at,updated_at
1,100012,100011,15,2,2024-07-23 00:24:56,2024-07-23 00:24:56
2,100012,100012,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
3,100013,100013,30,2,2024-07-23 00:24:56,2024-07-23 00:24:56
4,100013,100014,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
5,200012,200011,15,2,2024-07-23 00:24:56,2024-07-23 00:24:56
6,200012,200012,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
7,200013,200013,30,2,2024-07-23 00:24:56,2024-07-23 00:24:56
8,200013,200014,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
9,300012,300011,15,2,2024-07-23 00:24:56,2024-07-23 00:24:56
10,300012,300012,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
11,300013,300013,30,2,2024-07-23 00:24:56,2024-07-23 00:24:56
12,300013,300014,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
13,400012,400011,15,2,2024-07-23 00:24:56,2024-07-23 00:24:56
14,400012,400012,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
15,400013,400013,30,2,2024-07-23 00:24:56,2024-07-23 00:24:56
16,400013,400014,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
17,500012,500011,15,2,2024-07-23 00:24:56,2024-07-23 00:24:56
18,500012,500012,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
19,500013,500013,30,2,2024-07-23 00:24:56,2024-07-23 00:24:56
20,500013,500014,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
21,200082,200081,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
22,200083,200082,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
23,200084,200083,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
24,200085,200084,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
25,300052,300051,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
26,300053,300052,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
27,300054,300053,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
28,300055,300054,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
29,200112,200111,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
30,200113,200112,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
31,200114,200113,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
32,200115,200114,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
33,400052,400051,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
34,400053,400052,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
35,400054,400053,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
36,400055,400054,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
37,400042,400041,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
38,400043,400042,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
39,400044,400043,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
40,400045,400044,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
41,100022,100024,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
42,100023,100024,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
43,500072,500071,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
44,500073,500072,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
45,500074,500073,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
46,500075,500074,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
47,200042,200041,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
48,200043,200042,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
49,200044,200043,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
50,200045,200044,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
51,500042,500041,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
52,500043,500042,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
53,500044,500043,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
54,500045,500044,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
55,500032,500034,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
56,500033,500034,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
57,400022,400021,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
58,400023,400022,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
59,400024,400023,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
60,400025,400024,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
61,500052,500051,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
62,500053,500052,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
63,500054,500053,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
64,500055,500054,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
65,400082,400081,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
66,400083,400082,20,1,2024-07-23 00:24:56,2024-07-23 00:24:56
67,400084,400083,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
68,400085,400084,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
75,400032,400034,15,1,2024-07-23 00:24:56,2024-07-23 00:24:56
76,400033,400034,30,1,2024-07-23 00:24:56,2024-07-23 00:24:56
