name,seq
achievement_categories,30144
achievements,1662
act_cure_schedules,1
act_items,3
areas,10001
area_recommends,571
active_skill_sets,244
active_skills,314
area_conditions,13
area_tabs,999
awakening_items,900006
battle_params,4007
bgm_schedules,24
boost_schedules,51
budokais,1022
budokai_box_rankings,10221
budokai_box_ranking_rewards,102236
budokai_box_ranking_reward_ranges,10221201
budokai_helps,21
budokai_help_bodies,56
budokai_help_categories,4
budokai_leagues,10223
budokai_missions,1022086
budokai_mission_rewards,1022086
budokai_motivations,102212
budokai_motivation_unlock_conditions,102212
budokai_ranks,102212
budokai_ranking_gifts,10222601
budokai_ranking_gift_sets,102226
budokai_opponent_attack_weights,10224
budokai_opponent_attack_weight_lines,1022412
budokai_progress_selifs,10224
card_active_skills,378
card_awakening_routes,6771
card_awakening_sets,4418
card_awakenings,5153
card_card_categories,91025491005
card_categories,92
card_costumes,4
card_costume_conditions,8
card_decorations,530
card_exps,2340
card_growths,1310
card_unique_infos,10107
card_unique_info_set_relations,856
card_motions,3880
card_specials,14687
card_sticker_decoration_relations,9772
card_sticker_items,17
card_training_skill_lvs,16
card_training_skill_lv_up_probs,6
card_training_field_exp_up_probs,3
cards,91025491
chain_battle_helps,15
chain_battle_help_bodies,30
chain_battle_help_categories,3
chain_battle_missions,796
chain_battle_mission_periods,172
chain_battle_mission_rewards,2809
chain_battle_ranking_gift_sets,351
chain_battle_ranking_gifts,9472
chapters,6
chapter_properties,6
characters,1398
collection_categories,9
collection_uniques,626
collection_cards,3001150
db_stories,4
dialogs,3010
dialog_bodies,3010
dokkan_fields,5
dokkan_field_efficacies,6000005
dokkan_field_efficacy_sets,5
dokkan_field_active_skill_set_relations,7
dokkan_field_passive_skill_relations,1
dot_characters,1032
dot_character_growths,103012
dot_character_lv_rewards,350
effect_packs,1500025
enemy_ai_conditions,99999
enemy_round_skills,47
enemy_round_skill_sets,41
enemy_round_skill_set_relations,65
enemy_skills,1001090
equipment_skill_items,3818
equipment_skill_limitations,130
equipment_skills,381801
eventkagi_items,1001
exchangeable_items,7
forced_scripts,950
genkai_gimmick_sub_categories,19
related_card_categories,1000868
related_passive_skill_sets,34150046
related_link_skills,3912000
helps,901
help_bodies,90104
help_categories,15
item_card_properties,13
jukebox_albums,21
jukebox_tracks,908
jukebox_unlock_conditions,60
leader_skill_sets,9999999
leader_skills,102877201
level_bgs,2008
link_skills,1004
link_skill_lvs,100410
link_skill_lv_up_items,3
link_skill_lv_up_item_conditions,9
link_skill_efficacies,10041001
marquees,165
mission_categories,120217
mission_category_rewards,636
missions,51500233
mission_boards,5
mission_board_campaigns,1001
mission_rewards,41598
mission_periods,1845
optimal_awakening_growths,3793
passive_skills,40004136
passive_skill_effects,53
passive_skill_sets,4192
passive_skill_set_relations,41920005
points,10000003
potential_items,84
potential_boards,225
potential_squares,22500335
potential_events,133
potential_event_selection_tables,25
potential_event_selections,54
potential_square_condition_sets,788
potential_square_condition_set_relations,2505
potential_square_conditions,655
potential_square_relations,30200
potential_skills,7
potential_skill_lv_values,1174
quests,1505001
quest_category_bonuses,817
quest_category_bonus_groups,1
quest_category_bonus_rarity_tables,100
quest_drop_item_views,254
rank_ranges,4
rank_statuses,999
related_optimal_awakenings,704001
rmbattle_bgm_patterns,1
rmbattle_helps,9
rmbattle_help_bodies,24
rmbattle_help_categories,999
rmbattle_missions,75023
rmbattle_mission_rewards,75061
score_benefits,619
sd_arenas,148
sd_characters,4025590
sd_packs,1601
sd_maps,31
sd_stages,740
sd_helps,6
sd_help_bodies,15
sd_help_categories,1
shops,5
skill_causalities,3183
skill_groups,42
skill_labels,2
sound_effect_offsets,195
specials,3005301
special_bonuses,19
special_items,164
special_categories,3
special_sets,9999
special_views,14687
status_extensions,10
sub_target_type_sets,577
sub_target_types,1211
sugoroku_maps,15050014
sugoroku_map_puzzle_colors,18
support_films,5
support_items,90001
support_memories,500075
support_memory_enhancement_items,500074
support_memory_enhancement_levels,58
support_memory_enhancement_require_items,68
support_memory_skills,5000754
card_standby_skill_set_relations,18
standby_skill_sets,18
standby_skills,48
card_finish_skill_set_relations,28
finish_skill_sets,14
finish_specials,9
finish_skills,52
standby_skill_set_finish_skill_set_relations,28
tips,214
title_screens,55
transformation_descriptions,461
transformation_type_names,27
training_fields,13
training_items,5004
treasure_items,7102
tutorial_phases,9000
tutorial_steps,9000
tutorial_processes,90000
ultimate_specials,70
wallpaper_items,45
z_battle_check_points,704000
z_battle_enemies,704000
z_battle_enemy_card_escalations,704000
z_battle_enemy_skill_escalations,704009
z_battle_enemy_status_escalations,704003
z_battle_first_rewards,704001
z_battle_first_reward_level_ranges,704000
z_battle_normal_reward_tables,704000
z_battle_normal_rewards,704000
z_battle_stages,704
z_battle_powerup_thresholds,704000
z_battle_powerup_views,8
z_battle_stage_levelup_views,5
z_battle_stage_views,704000
