id,script_name,lite_flicker_rate,bgm_id,created_at,updated_at
1,pse0001,70,172.0,2024-06-27 02:04:20,2024-06-27 02:04:20
2,pse0002,70,175.0,2024-06-27 02:04:20,2024-06-27 02:04:20
3,pse0005,70,171.0,2024-06-27 02:04:20,2024-06-27 02:04:20
4,pse0003,70,181.0,2024-06-27 02:04:20,2024-06-27 02:04:20
5,pse0004,70,183.0,2024-06-27 02:04:20,2024-06-27 02:04:20
6,pse0006,70,186.0,2024-06-27 02:04:20,2024-06-27 02:04:20
7,pse0007,50,193.0,2024-06-27 02:04:20,2024-06-27 02:04:20
8,pse0008,50,195.0,2024-06-27 02:04:20,2024-06-27 02:04:20
9,pse0009,50,200.0,2024-06-27 02:04:20,2024-06-27 02:04:20
10,pse0010,30,197.0,2024-06-27 02:04:20,2024-06-27 02:04:20
11,pse0011,30,203.0,2024-06-27 02:04:20,2024-06-27 02:04:20
12,pse0015,30,215.0,2024-06-27 02:04:20,2024-06-27 02:04:20
13,pse0014,30,216.0,2024-06-27 02:04:20,2024-06-27 02:04:20
14,pse0013,30,217.0,2024-06-27 02:04:20,2024-06-27 02:04:20
15,pse0017,30,221.0,2024-06-27 02:04:20,2024-06-27 02:04:20
16,pse0016,50,226.0,2024-06-27 02:04:20,2024-06-27 02:04:20
17,pse0018,50,228.0,2024-06-27 02:04:20,2024-06-27 02:04:20
18,pse0019,30,239.0,2024-06-27 02:04:20,2024-06-27 02:04:20
19,pse0020,30,237.0,2024-06-27 02:04:20,2024-06-27 02:04:20
20,pse0022,50,258.0,2024-06-27 02:04:20,2024-06-27 02:04:20
21,pse0021,30,,2024-06-27 02:04:20,2024-06-27 02:04:20
22,pse0023,30,263.0,2024-06-27 02:04:20,2024-06-27 02:04:20
23,pse0024,30,268.0,2024-06-27 02:04:20,2024-06-27 02:04:20
24,pse0027,30,265.0,2024-06-27 02:04:20,2024-06-27 02:04:20
25,pse0025,70,270.0,2024-06-27 02:04:20,2024-06-27 02:04:20
26,pse0028,30,274.0,2024-06-27 02:04:20,2024-06-27 02:04:20
27,pse0026,30,272.0,2024-06-27 02:04:20,2024-06-27 02:04:20
28,pse0029,50,280.0,2024-06-27 02:04:20,2024-06-27 02:04:20
29,pse0031,30,285.0,2024-06-27 02:04:20,2024-06-27 02:04:20
30,pse0030,30,288.0,2024-06-27 02:04:20,2024-06-27 02:04:20
31,pse0032,30,290.0,2024-06-27 02:04:20,2024-06-27 02:04:20
32,pse0033,50,292.0,2024-06-27 02:04:20,2024-06-27 02:04:20
33,pse0034,50,295.0,2024-06-27 02:04:20,2024-06-27 02:04:20
34,pse0035,30,307.0,2024-06-27 02:04:20,2024-06-27 02:04:20
35,pse0037,50,314.0,2024-06-27 02:04:20,2024-06-27 02:04:20
36,pse0036,50,312.0,2024-06-27 02:04:20,2024-06-27 02:04:20
37,pse0038,50,316.0,2024-06-27 02:04:20,2024-06-27 02:04:20
38,pse0040,30,320.0,2024-06-27 02:04:20,2024-06-27 02:04:20
39,pse0039,50,329.0,2024-06-27 02:04:20,2024-06-27 02:04:20
40,pse0041,70,322.0,2024-06-27 02:04:20,2024-06-27 02:04:20
41,pse0042,70,327.0,2024-06-27 02:04:20,2024-06-27 02:04:20
42,pse0043,50,333.0,2024-06-27 02:04:20,2024-06-27 02:04:20
43,pse0048,30,,2024-06-27 02:04:20,2024-06-27 02:04:20
44,pse0044,50,335.0,2024-06-27 02:04:20,2024-06-27 02:04:20
45,pse0045,30,342.0,2024-06-27 02:04:20,2024-06-27 02:04:20
46,pse0046,30,346.0,2024-06-27 02:04:20,2024-06-27 02:04:20
47,pse0047,30,349.0,2024-06-27 02:04:20,2024-06-27 02:04:20
48,pse0055,30,361.0,2024-06-27 02:04:20,2024-06-27 02:04:20
49,pse0050,70,354.0,2024-06-27 02:04:20,2024-06-27 02:04:20
50,pse0049,50,356.0,2024-06-27 02:04:20,2024-06-27 02:04:20
51,pse0051,30,359.0,2024-06-27 02:04:20,2024-06-27 02:04:20
52,pse0054,30,,2024-06-27 02:04:20,2024-06-27 02:04:20
53,pse0052,30,363.0,2024-06-27 02:04:20,2024-06-27 02:04:20
54,pse0053,30,364.0,2024-06-27 02:04:20,2024-06-27 02:04:20
55,pse0056,30,366.0,2024-06-27 02:04:20,2024-06-27 02:04:20
