id,name,description,grade,selling_exchange_point,hp,attack,defense,equipment_skill_limitation_set_id,icon_image_id,is_eternal,created_at,updated_at
1,スキル玉(速)HP＋Lv.1,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのHPに＋100することができる。",bronze,1,100,0,0,1,8,0,2024-07-17 02:06:00,2024-07-17 02:06:00
2,スキル玉(速)HP＋Lv.2,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのHPに＋200することができる。",bronze,1,200,0,0,1,8,0,2024-07-17 02:06:00,2024-07-17 02:06:00
3,スキル玉(速)HP＋Lv.3,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのHPに＋300することができる。",bronze,1,300,0,0,1,8,0,2024-07-17 02:06:00,2024-07-17 02:06:00
4,スキル玉(速)HP＋Lv.4,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのHPに＋400することができる。",bronze,1,400,0,0,1,8,0,2024-07-17 02:06:00,2024-07-17 02:06:00
5,スキル玉(速)HP＋Lv.5,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのHPに＋500することができる。",bronze,1,500,0,0,1,8,0,2024-07-17 02:06:00,2024-07-17 02:06:00
6,スキル玉(速)ATK＋Lv.1,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのATKに＋100することができる。",bronze,1,0,100,0,1,10,0,2024-07-17 02:06:00,2024-07-17 02:06:00
7,スキル玉(速)ATK＋Lv.2,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのATKに＋200することができる。",bronze,1,0,200,0,1,10,0,2024-07-17 02:06:00,2024-07-17 02:06:00
8,スキル玉(速)ATK＋Lv.3,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのATKに＋300することができる。",bronze,1,0,300,0,1,10,0,2024-07-17 02:06:00,2024-07-17 02:06:00
9,スキル玉(速)ATK＋Lv.4,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのATKに＋400することができる。",bronze,1,0,400,0,1,10,0,2024-07-17 02:06:00,2024-07-17 02:06:00
10,スキル玉(速)ATK＋Lv.5,"UR・LRのキャラクターに装着が可能なスキル玉。
装着したキャラクターのATKに＋500することができる。",bronze,1,0,500,0,1,10,0,2024-07-17 02:06:00,2024-07-17 02:06:00
