id,z_battle_stage_id,enemy_name,enemy_nickname,enemy_resource_id,params,created_at,updated_at
1,1,超サイヤ人3孫悟空,最強の奥義,1003210,"{""lwf"":{""event_top_chara"":{""x"":-18,""y"":218,""scale"":0.78},""anime_start"":{""x"":-18,""y"":218,""scale"":0.78},""anime_end"":{""x"":130,""y"":132,""scale"":0.78},""shadow"":{""x"":-268,""y"":978,""scale"":0.62},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2017-11-08 10:30:55,2017-11-08 10:30:55
2,2,伝説の超サイヤ人ブロリー,破壊と殺戮の超戦士,1003800,"{""lwf"":{""event_top_chara"":{""x"":24,""y"":176,""scale"":0.95},""anime_start"":{""x"":24,""y"":176,""scale"":0.95},""anime_end"":{""x"":174,""y"":114,""scale"":0.95},""shadow"":{""x"":-150,""y"":906,""scale"":0.76},""start_chara"":{""x"":-8,""y"":0,""scale"":1.0}}}",2017-11-28 04:30:57,2017-11-30 01:44:06
3,3,ナメック星編,極限Zバトル,1013460,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":42,""scale"":0.72},""anime_start"":{""x"":0,""y"":42,""scale"":0.72},""anime_end"":{""x"":0,""y"":42,""scale"":0.72},""shadow"":{""x"":10000,""y"":10000,""scale"":0.76},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2018-01-12 01:44:30,2018-01-15 08:44:33
4,4,フリーザ(フルパワー),帝王の執念,1004251,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":224,""scale"":0.73},""anime_start"":{""x"":-4,""y"":224,""scale"":0.73},""anime_end"":{""x"":126,""y"":132,""scale"":0.75},""shadow"":{""x"":-258,""y"":1008,""scale"":0.63},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2018-02-13 09:58:42,2018-03-01 10:05:23
6,5,親子三大かめはめ波,極限Zバトル,1013610,"{""lwf"":{""event_top_chara"":{""x"":2,""y"":36,""scale"":0.7},""anime_start"":{""x"":2,""y"":36,""scale"":0.7},""anime_end"":{""x"":2,""y"":36,""scale"":0.7},""shadow"":{""x"":10000,""y"":10000,""scale"":1.0},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2018-04-09 09:04:51,2018-04-09 09:04:51
7,6,パーフェクトセル,万物の凌駕,1004651,"{""lwf"":{""event_top_chara"":{""x"":76,""y"":290,""scale"":0.97},""anime_start"":{""x"":76,""y"":290,""scale"":0.97},""anime_end"":{""x"":190,""y"":228,""scale"":0.97},""shadow"":{""x"":-42,""y"":1102,""scale"":0.6},""start_chara"":{""x"":0,""y"":-8,""scale"":1.13}}}",2018-04-17 06:17:52,2018-04-20 09:31:09
8,7,アルティメット孫悟飯,究極パワー放出,1006701,"{""lwf"":{""event_top_chara"":{""x"":94,""y"":-14,""scale"":1.0},""anime_start"":{""x"":94,""y"":-14,""scale"":1.0},""anime_end"":{""x"":194,""y"":-56,""scale"":1.0},""shadow"":{""x"":24,""y"":578,""scale"":0.69},""start_chara"":{""x"":-4,""y"":-4,""scale"":1.12}}}",2018-05-21 05:40:26,2018-07-03 05:25:06
9,8,ブロリー,流刑のサイヤ人,1014511,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":118,""scale"":0.67},""anime_start"":{""x"":-4,""y"":118,""scale"":0.67},""anime_end"":{""x"":124,""y"":48,""scale"":0.67},""shadow"":{""x"":-176,""y"":880,""scale"":0.51},""start_chara"":{""x"":0,""y"":38,""scale"":1.0}}}",2018-07-03 01:42:53,2018-07-25 05:44:36
10,9,ピッコロ,ナメック星人としての闘い,1014681,"{""lwf"":{""event_top_chara"":{""x"":54,""y"":120,""scale"":1.07},""anime_start"":{""x"":54,""y"":120,""scale"":1.07},""anime_end"":{""x"":162,""y"":40,""scale"":1.07},""shadow"":{""x"":-102,""y"":832,""scale"":0.76},""start_chara"":{""x"":0,""y"":-12,""scale"":1.17}}}",2018-07-22 00:44:14,2018-07-31 02:04:51
12,10,ジレン,熱き究極戦士,1013961,"{""lwf"":{""event_top_chara"":{""x"":-200,""y"":-18,""scale"":1.16},""anime_start"":{""x"":-200,""y"":-18,""scale"":1.16},""anime_end"":{""x"":-200,""y"":-18,""scale"":1.16},""shadow"":{""x"":-1500,""y"":1500,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-66,""scale"":1.14}}}",2018-08-17 01:59:47,2018-08-17 01:59:47
